point_id,point_name,A_observable_n,A_count,A_strength,B_observable_n,B_count,B_strength,C_observable_n,C_count,C_strength,D_observable_n,D_count,D_strength,pattern_merge_count,pattern_non_a_merge_count,pattern_none_count,nt_merge_count,nt_split_count,all_pattern_none,subbranch,lat,lon,nbclust_cluster,nbclust_display_label,nbclust_method,nbclust_k,avg_S0_S1,avg_S1_S2,avg_S2_S3,kmeans_cluster,kmeans_cluster_label
NB01,宁波市区,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-甬江小片,29.882641254266098,121.55751200020596,1,C1 S2_S3_dominant,kmeans,3,0.0784,0.02942,0.0734714285714285,1,C1 S2_S3_dominant
NH01,南汇惠南镇,7,7,1.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0,2,0,False,太湖片-苏沪嘉小片,31.05000952690444,121.74745427694488,3,C3 S2_S3_dominant,kmeans,3,0.15774,0.0,0.5534714285714285,3,C3 S2_S3_dominant
NT01,南通金沙镇,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,0,0,5,1,1,True,太湖片-毗陵小片,32.07952490070315,121.0797065725066,1,C1 S2_S3_dominant,kmeans,3,0.0,0.0,0.0456285714285714,1,C1 S2_S3_dominant
PB01,彭埠镇,7,2,0.2857142857142857,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-杭州小片,30.289632692039433,120.22871521662924,2,C2 S1_S2_dominant,kmeans,3,0.1050799999999999,0.44692,0.1218428571428571,2,C2 S1_S2_dominant
PH01,平湖城关,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,30.692613873607865,121.01118052674214,3,C3 S2_S3_dominant,kmeans,3,0.1618,0.12,0.5971142857142857,3,C3 S2_S3_dominant
QD01,启东吕四,7,2,0.2857142857142857,5,2,0.4,5,0,0.0,5,0,0.0,2,2,3,1,1,False,太湖片-毗陵小片,32.07521449652023,121.6031682403422,1,C1 S2_S3_dominant,kmeans,3,0.1085,0.25966,0.1629714285714285,1,C1 S2_S3_dominant
QP01,青浦商榻,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.11800487430921,120.91982736628508,3,C3 S2_S3_dominant,kmeans,3,0.23632,0.13198,0.5273571428571429,3,C3 S2_S3_dominant
SH01,上海市区,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.245251317000687,121.47209312541509,3,C3 S2_S3_dominant,kmeans,3,0.23844,0.09876,0.7852714285714286,3,C3 S2_S3_dominant
SJ01,松江镇,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.036008868377273,121.22465745683684,3,C3 S2_S3_dominant,kmeans,3,0.27914,0.133,0.7703714285714286,3,C3 S2_S3_dominant
SJ02,泗泾,7,6,0.8571428571428571,5,0,0.0,5,1,0.2,5,1,0.2,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.118775274975683,121.27114807482758,3,C3 S2_S3_dominant,kmeans,3,0.18416,0.0,0.3598714285714285,3,C3 S2_S3_dominant
SL01,三林,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.14556367853321,121.50266996292858,3,C3 S2_S3_dominant,kmeans,3,0.1341399999999999,0.0,0.4723714285714285,3,C3 S2_S3_dominant
SX01,绍兴城区东头埭,7,1,0.14285714285714285,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-临绍小片,29.993518344339964,120.58871374901304,2,C2 S1_S2_dominant,kmeans,3,0.10206,0.69228,0.1516428571428571,2,C2 S1_S2_dominant
SY02,上虞百官镇,7,1,0.14285714285714285,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-临绍小片,30.03284284378913,120.86882647540976,2,C2 S1_S2_dominant,kmeans,3,0.0834999999999999,0.54868,0.0487428571428571,2,C2 S1_S2_dominant
SZ01,苏州城区,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.29881005567972,120.5842465949506,3,C3 S2_S3_dominant,kmeans,3,0.2395999999999999,0.15694,0.7483571428571428,3,C3 S2_S3_dominant
SZ02,嵊州长乐,7,2,0.2857142857142857,5,1,0.2,5,0,0.0,5,0,0.0,2,1,3,1,1,False,太湖片-临绍小片,29.462161931063488,120.6134354682932,1,C1 S2_S3_dominant,kmeans,3,0.06358,0.1085199999999999,0.1247285714285714,1,C1 S2_S3_dominant
SZ03,嵊州崇仁镇,7,1,0.14285714285714285,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-临绍小片,29.597058890479932,120.71305579108136,2,C2 S1_S2_dominant,kmeans,3,0.02222,0.55236,0.0,2,C2 S1_S2_dominant
TC01,太仓沙溪,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.55669694801828,121.07694150440597,3,C3 S2_S3_dominant,kmeans,3,0.24928,0.1631999999999999,0.7509142857142858,3,C3 S2_S3_dominant
TC02,太仓城厢,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.457113404346295,121.11208518322822,3,C3 S2_S3_dominant,kmeans,3,0.2132,0.19682,0.7669857142857143,3,C3 S2_S3_dominant
TL01,桐庐镇,7,7,1.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0,2,0,False,太湖片-临绍小片,29.7884967854026,119.68688228167676,3,C3 S2_S3_dominant,kmeans,3,0.13988,0.03238,0.6016,3,C3 S2_S3_dominant
TX01,桐乡城区,7,7,1.0,5,0,0.0,5,2,0.4,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,30.62837635390344,120.55967958073325,3,C3 S2_S3_dominant,kmeans,3,0.2928,0.05396,0.4626,3,C3 S2_S3_dominant
WJ01,吴江市松陵,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.151716675903405,120.64901016522084,3,C3 S2_S3_dominant,kmeans,3,0.1817,0.12,0.5554428571428571,3,C3 S2_S3_dominant
WJ02,吴江芦墟,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.009803453390855,120.83681736613912,1,C1 S2_S3_dominant,kmeans,3,0.06882,0.0581799999999999,0.3872428571428571,1,C1 S2_S3_dominant
WX01,无锡城区,7,5,0.7142857142857143,5,1,0.2,5,1,0.2,5,1,0.2,5,3,0,2,0,False,太湖片-苏沪嘉小片,31.5672385460996,120.3044028357254,3,C3 S2_S3_dominant,kmeans,3,0.2476999999999999,0.1220199999999999,0.5115857142857143,3,C3 S2_S3_dominant
WX02,吴县光福镇,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.283712541086764,120.39250256018134,3,C3 S2_S3_dominant,kmeans,3,0.24374,0.08888,0.7160428571428571,3,C3 S2_S3_dominant
XC01,新昌城关,7,2,0.2857142857142857,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,1,1,False,太湖片-临绍小片,29.51218962718775,120.90152839470582,1,C1 S2_S3_dominant,kmeans,3,0.1182,0.04268,0.1181,1,C1 S2_S3_dominant
XD01,新登下港,7,7,1.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0,2,0,False,太湖片-临绍小片,30.05504419208193,119.70643910381924,3,C3 S2_S3_dominant,kmeans,3,0.12786,0.01862,0.7095142857142857,3,C3 S2_S3_dominant
XH02,萧山城厢,7,2,0.2857142857142857,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-临绍小片,30.184673237617087,120.26218610190767,2,C2 S1_S2_dominant,kmeans,3,0.1000799999999999,0.56954,0.1375142857142857,2,C2 S1_S2_dominant
XS01,象山丹城,7,2,0.2857142857142857,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-甬江小片,29.47877399078279,121.8761040477852,2,C2 S1_S2_dominant,kmeans,3,0.1178599999999999,0.55626,0.1783999999999999,2,C2 S1_S2_dominant
XS03,萧山南阳镇,7,2,0.2857142857142857,5,5,1.0,5,0,0.0,5,0,0.0,5,5,0,1,1,False,太湖片-临绍小片,30.264074721662567,120.44397314596198,2,C2 S1_S2_dominant,kmeans,3,0.064,0.48098,0.0937857142857142,2,C2 S1_S2_dominant
XZ01,莘庄,7,7,1.0,5,1,0.2,5,1,0.2,5,0,0.0,5,2,0,2,0,False,太湖片-苏沪嘉小片,31.124822322270933,121.36994323180724,3,C3 S2_S3_dominant,kmeans,3,0.16266,0.12362,0.4767428571428572,3,C3 S2_S3_dominant
YQ01,於潜,7,7,1.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0,2,0,False,太湖片-临绍小片,30.187905243932583,119.39323745469882,3,C3 S2_S3_dominant,kmeans,3,0.12412,0.0,0.65,3,C3 S2_S3_dominant
YX01,宜兴,7,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,0,0,5,0,2,True,太湖片-毗陵小片,31.34176176690364,119.82862754717812,1,C1 S2_S3_dominant,kmeans,3,0.0651,0.0125,0.0561285714285714,1,C1 S2_S3_dominant
YX02,鄞县中区,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-甬江小片,29.816552546783488,121.54599962737127,1,C1 S2_S3_dominant,kmeans,3,0.08388,0.0073999999999999,0.1145285714285714,1,C1 S2_S3_dominant
YY01,余姚城关,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-临绍小片,30.03828439897687,121.15542443185122,1,C1 S2_S3_dominant,kmeans,3,0.0554599999999999,0.069,0.1507428571428571,1,C1 S2_S3_dominant
ZJ01,诸暨城关,7,2,0.2857142857142857,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,1,1,False,太湖片-临绍小片,29.7117133107683,120.24004681294583,1,C1 S2_S3_dominant,kmeans,3,0.1609,0.04034,0.1052,1,C1 S2_S3_dominant
ZJ02,诸暨璜山镇,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-临绍小片,29.571826761282235,120.33308245398152,1,C1 S2_S3_dominant,kmeans,3,0.14462,0.00624,0.1061285714285714,1,C1 S2_S3_dominant
ZJ03,诸暨直埠镇,7,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,0,0,5,0,2,True,太湖片-临绍小片,29.830264930206425,120.2501858189284,1,C1 S2_S3_dominant,kmeans,3,0.08844,0.0153399999999999,0.0204142857142857,1,C1 S2_S3_dominant
ZP01,周浦,7,7,1.0,5,0,0.0,5,1,0.2,5,0,0.0,5,1,0,2,0,False,太湖片-苏沪嘉小片,31.115354843880898,121.57500604757446,3,C3 S2_S3_dominant,kmeans,3,0.1341399999999999,0.0,0.4545142857142857,3,C3 S2_S3_dominant
ZR01,真如,7,7,1.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0,2,0,False,太湖片-苏沪嘉小片,31.25725388552751,121.40120261716866,3,C3 S2_S3_dominant,kmeans,3,0.1617799999999999,0.0,0.4829571428571428,3,C3 S2_S3_dominant
ZS01,舟山定海,7,1,0.14285714285714285,5,0,0.0,5,0,0.0,5,0,0.0,1,0,4,0,2,False,太湖片-甬江小片,30.021127079101433,122.11093332969364,1,C1 S2_S3_dominant,kmeans,3,0.10042,0.0162,0.1402714285714285,1,C1 S2_S3_dominant
