point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,东城街道江喜昌2021
JT01,金坛,太湖片-毗陵小片,,,麻,M,蟆,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,妈,a,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,马,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,码,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,玛,,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,蚂,,,
JT01,金坛,太湖片-毗陵小片,,,麻,M,骂,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,N,拿,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS,茶,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS,搽,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS,䖳,,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,楂,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,渣,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,诈,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,榨,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,炸,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,叉,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,杈,a,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,差,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,岔,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,差,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,茬,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,查,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,乍,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,沙,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,纱,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,痧,,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,砂,,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,鲨,,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,裟,,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,洒,a,,
JT01,金坛,太湖片-毗陵小片,,,麻,TS*,厦,a,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,家,o/ia,白读/文读,
JT01,金坛,太湖片-毗陵小片,,,麻,K,傢,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,加,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,痂,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,嘉,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,枷,,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,袈,,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,假,o/ia,白读/文读,
JT01,金坛,太湖片-毗陵小片,,,麻,K,贾,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,假,o/ia,白读/文读,
JT01,金坛,太湖片-毗陵小片,,,麻,K,架,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,驾,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,嫁,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,稼,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,价,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,揢,a,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,牙,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,芽,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,衙,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,伢,o,私～郎头,
JT01,金坛,太湖片-毗陵小片,,,麻,K,蚜,,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,雅,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,K,砑,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,虾,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,�,,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,嚇,əʔ,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,霞,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,瑕,,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,遐,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,蝦,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,下,o/ia,白读/文读,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,夏,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,厦,a/ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,下,o/ia,白读/文读,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,夏,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,暇,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,鸦,ia,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,丫,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,桠,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,哑,o,,
JT01,金坛,太湖片-毗陵小片,,,麻,Ø,亚,ia,,
JT01,金坛,太湖片-毗陵小片,,,模,P,补,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,谱,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,哺,,,
JT01,金坛,太湖片-毗陵小片,,,模,P,布,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,佈,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,铺,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,潽,,,
JT01,金坛,太湖片-毗陵小片,,,模,P,普,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,浦,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,铺,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,怖,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,蒲,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,菩,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,脯,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,葡,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,莆,,,
JT01,金坛,太湖片-毗陵小片,,,模,P,部,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,簿,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,篰,,,
JT01,金坛,太湖片-毗陵小片,,,模,P,步,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,捕,u,,
JT01,金坛,太湖片-毗陵小片,,,模,P,埠,u,,
JT01,金坛,太湖片-毗陵小片,,,模,M,模,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,M,模,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,M,摹,,,
JT01,金坛,太湖片-毗陵小片,,,模,M,姥,ao,,
JT01,金坛,太湖片-毗陵小片,,,模,M,暮,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,M,慕,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,M,墓,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,M,募,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,M,睦,ɔʔ,,
JT01,金坛,太湖片-毗陵小片,,,模,T,都,u,~城,
JT01,金坛,太湖片-毗陵小片,,,模,T,都,əu,~是,
JT01,金坛,太湖片-毗陵小片,,,模,T,赌,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,堵,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,肚,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,睹,,,
JT01,金坛,太湖片-毗陵小片,,,模,T,妒,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,土,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,吐,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,吐,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,兔,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,徒,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,屠,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,途,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,涂,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,图,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,杜,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,肚,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,度,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,渡,u,,
JT01,金坛,太湖片-毗陵小片,,,模,T,镀,u,,
JT01,金坛,太湖片-毗陵小片,,,模,N,奴,u,,
JT01,金坛,太湖片-毗陵小片,,,模,N,努,u,,
JT01,金坛,太湖片-毗陵小片,,,模,N,怒,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,卢,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,炉,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,芦,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,鸬,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,颅,,,
JT01,金坛,太湖片-毗陵小片,,,模,L,鲈,,,
JT01,金坛,太湖片-毗陵小片,,,模,L,鲁,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,橹,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,虏,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,卤,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,路,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,赂,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,露,u,,
JT01,金坛,太湖片-毗陵小片,,,模,L,鹭,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,租,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,祖,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,组,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,做,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,粗,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,醋,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,措,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,错,əu,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,苏,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,酥,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,素,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,诉,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,塑,u,,
JT01,金坛,太湖片-毗陵小片,,,模,TS,嗉,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,姑,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,孤,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,箍,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,辜,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,菇,,,
JT01,金坛,太湖片-毗陵小片,,,模,K,鸪,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,蛄,,,
JT01,金坛,太湖片-毗陵小片,,,模,K,古,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,估,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,盬,,,
JT01,金坛,太湖片-毗陵小片,,,模,K,牯,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,股,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,鼓,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,蛊,,,
JT01,金坛,太湖片-毗陵小片,,,模,K,故,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,固,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,锢,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,雇,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,顾,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,枯,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,苦,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,库,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,裤,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,吴,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,蜈,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,吾,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,梧,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,五,u/ŋ,文读/白读,
JT01,金坛,太湖片-毗陵小片,,,模,K,伍,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,午,u/ŋ,文读/白读,
JT01,金坛,太湖片-毗陵小片,,,模,K,忤,,,
JT01,金坛,太湖片-毗陵小片,,,模,K,误,u,,
JT01,金坛,太湖片-毗陵小片,,,模,K,悟,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,呼,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,虎,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,浒,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,琥,,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,戽,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,胡,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,湖,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,狐,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,壶,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,乎,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,瓠,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,鬍,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,糊,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,蝴,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,瑚,,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,户,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,沪,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,互,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,护,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,瓠,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,糊,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,乌,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,污,u,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,坞,,,
JT01,金坛,太湖片-毗陵小片,,,模,Ø,恶,u,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,褒,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,保,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,堡,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,宝,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,报,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,袍,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,抱,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,暴,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,P,菢,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,M,毛,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,M,冒,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,M,帽,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,M,瑁,,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,刀,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,叨,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,祷,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,岛,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,倒,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,捣,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,到,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,倒,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,滔,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,掏,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,讨,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,套,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,桃,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,逃,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,淘,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,陶,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,萄,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,涛,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,道,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,稻,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,盗,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,导,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,T,蹈,,,
JT01,金坛,太湖片-毗陵小片,,,豪,N,脑,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,N,恼,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,L,劳,ao,,
JT01,金坛,太湖片-毗陵小片,,,豪,L,捞,ao,,
