point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,绍兴方言同音字汇
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,M,磨,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,朵,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,躲,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,剁,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,妥,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,椭,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,唾,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,砣,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,惰,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,垛,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,T,堕,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,N,挼,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,N,糯,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,N,懦,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,L,骡,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,L,螺,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,L,脶,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,L,啰,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,L,裸,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,L,瘰,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,L,摞,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,锉,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,莝,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,矬,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,坐,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,座,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,蓑,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,梭,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,唆,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,莎,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,锁,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,琐,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,TS,唢,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,过,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,锅,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,戈,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,果,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,裹,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,餜,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,过,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,科,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,窠,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,棵,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,髁,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,蝌,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,颗,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,课,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,讹,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,K,卧,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,火,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,伙,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,货,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,和,u/o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,禾,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,祸,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,夥,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,和,u/o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,倭,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,踒,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,窝,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,涡,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,莴,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,涴,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,瘸,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,靴,y,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,戈,Ø,�,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,巴,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,芭,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,疤,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,笆,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,吧,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,把,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,靶,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,霸,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,欛,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,壩,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,坝,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,爸,a,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,怕,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,帕,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,爬,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,琶,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,杷,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,钯,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,P,耙,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,麻,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,痲,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,蟆,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,妈,a/o,文读/白读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,马,a/o,～虎,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,码,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,玛,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,蚂,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,M,骂,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,N,拿,a/o,文读/白读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS,茶,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS,搽,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS,䖳,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,楂,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,渣,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,诈,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,榨,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,炸,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,叉,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,杈,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,差,o,～勿多,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,岔,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,差,o,～勿多,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,茬,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,查,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,乍,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,沙,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,纱,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,痧,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,砂,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,鲨,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,裟,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,洒,a,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,TS*,厦,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,家,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,傢,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,加,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,痂,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,嘉,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,枷,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,袈,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,假,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,贾,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,假,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,架,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,驾,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,嫁,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,稼,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,价,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,揢,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,牙,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,芽,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,衙,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,伢,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,蚜,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,雅,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,K,砑,a,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,虾,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,�,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,嚇,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,霞,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,瑕,io,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,遐,io,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,蝦,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,下,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,夏,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,厦,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,下,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,夏,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,暇,io,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,鸦,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,丫,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,桠,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,哑,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,麻,Ø,亚,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,补,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,谱,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,哺,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,布,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,佈,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,铺,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,潽,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,普,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,浦,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,铺,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,怖,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,蒲,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,菩,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,脯,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,葡,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,莆,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,部,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,簿,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,篰,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,步,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,捕,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,P,埠,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,模,u/o,/～范,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,模,u/o,/～范,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,摹,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,姥, ɒ,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,暮,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,慕,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,墓,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,募,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,M,睦,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,都,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,都,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,赌,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,堵,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,肚,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,睹,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,妒,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,土,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,吐,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,吐,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,兔,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,徒,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,屠,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,途,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,涂,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,图,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,杜,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,肚,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,度,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,渡,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,T,镀,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,N,奴,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,N,努,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,N,怒,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,卢,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,炉,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,芦,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,鸬,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,颅,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,鲈,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,鲁,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,橹,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,虏,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,卤,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,路,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,赂,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,露,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,L,鹭,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,租,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,祖,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,组,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,做,o,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,粗,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,醋,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,措,u/o,新/旧,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,错,o,～误,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,苏,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,酥,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,素,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,诉,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,塑,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,TS,嗉,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,姑,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,孤,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,箍,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,辜,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,菇,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,鸪,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,蛄,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,古,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,估,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,盬,,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,牯,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,股,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,鼓,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,蛊,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,故,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,固,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,锢,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,雇,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,顾,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,枯,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,苦,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,库,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,裤,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,吴,u,文读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,蜈,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,吾,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,梧,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,五,u,文读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,伍,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,午,u,文读,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,忤,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,误,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,K,悟,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,呼,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,虎,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,浒,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,琥,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,戽,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,胡,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,湖,u,,
SX01,绍兴城区东头埭,太湖片-临绍小片,,,模,Ø,狐,u,,
