point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴语富阳（东梓关）方言音系
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,课,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,讹,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,卧,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,火,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,伙,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,货,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,和,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,禾,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,祸,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,夥,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,和,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,倭,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,踒,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,窝,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,涡,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,莴,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,涴,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,瘸,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,靴,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,Ø,�,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,巴,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,芭,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,疤,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,笆,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,吧,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,把,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,靶,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,霸,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,欛,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,壩,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,坝,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,爸,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,怕,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,帕,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,爬,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,琶,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,杷,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,钯,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,P,耙,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,麻,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,痲,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,蟆,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,妈,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,马,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,码,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,玛,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,蚂,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,M,骂,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,N,拿,a,推～,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS,茶,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS,搽,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS,䖳,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,楂,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,渣,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,诈,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,榨,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,炸,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,叉,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,杈,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,差,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,岔,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,差,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,茬,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,查,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,乍,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,沙,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,纱,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,痧,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,砂,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,鲨,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,裟,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,洒,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,TS*,厦,a,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,家,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,傢,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,加,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,痂,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,嘉,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,枷,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,袈,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,假,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,贾,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,假,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,架,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,驾,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,嫁,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,稼,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,价,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,揢,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,牙,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,芽,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,衙,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,伢,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,蚜,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,雅,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,K,砑,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,虾,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,�,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,嚇,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,霞,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,瑕,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,遐,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,蝦,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,下,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,夏,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,厦,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,下,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,夏,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,暇,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,鸦,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,丫,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,桠,,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,哑,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,麻,Ø,亚,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,补,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,谱,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,哺,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,布,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,佈,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,铺,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,潽,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,普,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,浦,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,铺,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,怖,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,蒲,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,菩,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,脯,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,葡,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,莆,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,部,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,簿,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,篰,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,步,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,捕,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,P,埠,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,模,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,模,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,摹,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,姥,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,暮,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,慕,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,墓,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,募,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,M,睦,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,都,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,都,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,赌,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,堵,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,肚,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,睹,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,妒,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,土,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,吐,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,吐,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,兔,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,徒,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,屠,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,途,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,涂,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,图,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,杜,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,肚,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,度,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,渡,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,T,镀,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,N,奴,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,N,努,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,N,怒,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,卢,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,炉,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,芦,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,鸬,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,颅,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,鲈,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,鲁,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,橹,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,虏,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,卤,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,路,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,赂,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,露,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,L,鹭,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,租,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,祖,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,组,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,做,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,粗,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,醋,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,措,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,错,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,苏,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,酥,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,素,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,诉,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,塑,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,TS,嗉,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,姑,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,孤,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,箍,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,辜,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,菇,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,鸪,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,蛄,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,古,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,估,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,盬,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,牯,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,股,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,鼓,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,蛊,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,故,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,固,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,锢,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,雇,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,顾,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,枯,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,苦,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,库,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,裤,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,吴,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,蜈,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,吾,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,梧,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,五,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,伍,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,午,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,忤,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,误,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,K,悟,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,呼,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,虎,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,浒,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,琥,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,戽,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,胡,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,湖,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,狐,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,壶,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,乎,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,瓠,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,鬍,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,糊,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,蝴,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,瑚,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,户,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,沪,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,互,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,护,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,瓠,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,糊,,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,乌,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,污,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,坞,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,模,Ø,恶,,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,褒,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,保,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,堡,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,宝,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,报,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,袍,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,抱,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,暴,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,P,菢,,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,M,毛,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,M,冒,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,M,帽,ɔ,,
FY02,富阳东梓关,太湖片-临绍小片,,,豪,M,瑁,,,
