point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江德清（乾元）方言音系
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,跛,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,簸,ᴇ,白读,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,簸,ᴇ,白读,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,播,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,颇,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,坡,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,玻,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,破,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,婆,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,薄,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,M,魔,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,M,磨,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,M,摩,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,M,馍,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,M,蘑,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,M,磨,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,朵,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,躲,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,剁,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,妥,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,椭,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,唾,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,砣,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,惰,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,垛,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,T,堕,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,N,挼,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,N,糯,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,N,懦,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,L,骡,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,L,螺,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,L,脶,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,L,啰,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,L,裸,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,L,瘰,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,L,摞,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,锉,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,莝,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,矬,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,坐,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,座,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,蓑,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,梭,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,唆,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,莎,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,锁,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,琐,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,TS,唢,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,过,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,锅,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,戈,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,果,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,裹,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,餜,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,过,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,科,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,窠,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,棵,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,髁,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,蝌,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,颗,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,课,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,讹,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,卧,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,火,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,伙,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,货,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,和,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,禾,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,祸,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,夥,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,和,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,倭,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,踒,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,窝,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,涡,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,莴,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,涴,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,瘸,,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,靴,i,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,Ø,�,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,巴,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,芭,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,疤,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,笆,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,吧,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,把,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,靶,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,霸,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,欛,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,壩,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,坝,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,爸,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,怕,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,帕,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,爬,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,琶,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,杷,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,钯,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,P,耙,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,麻,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,痲,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,蟆,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,妈,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,马,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,码,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,玛,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,蚂,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,M,骂,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,N,拿,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS,茶,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS,搽,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS,䖳,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,楂,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,渣,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,诈,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,榨,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,炸,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,叉,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,杈,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,差,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,岔,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,差,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,茬,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,查,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,乍,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,沙,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,纱,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,痧,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,砂,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,鲨,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,裟,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,洒,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,TS*,厦,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,家,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,傢,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,加,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,痂,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,嘉,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,枷,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,袈,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,假,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,贾,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,假,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,架,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,驾,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,嫁,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,稼,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,价,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,揢,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,牙,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,芽,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,衙,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,伢,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,蚜,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,雅,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,K,砑,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,虾,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,�,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,嚇,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,霞,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,瑕,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,遐,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,蝦,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,下,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,夏,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,厦,ia,～门,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,下,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,夏,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,暇,,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,鸦,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,丫,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,桠,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,哑,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,麻,Ø,亚,ia,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,补,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,谱,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,哺,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,布,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,佈,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,铺,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,潽,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,普,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,浦,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,铺,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,怖,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,蒲,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,菩,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,脯,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,葡,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,莆,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,部,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,簿,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,篰,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,步,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,捕,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,P,埠,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,模,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,模,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,摹,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,姥,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,暮,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,慕,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,墓,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,募,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,M,睦,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,都,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,都,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,赌,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,堵,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,肚,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,睹,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,妒,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,土,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,吐,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,吐,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,兔,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,徒,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,屠,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,途,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,涂,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,图,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,杜,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,肚,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,度,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,渡,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,T,镀,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,N,奴,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,N,努,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,N,怒,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,卢,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,炉,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,芦,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,鸬,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,颅,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,鲈,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,鲁,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,橹,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,虏,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,卤,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,路,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,赂,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,露,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,L,鹭,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,租,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,祖,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,组,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,做,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,粗,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,醋,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,措,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,错,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,苏,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,酥,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,素,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,诉,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,塑,oʔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,TS,嗉,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,姑,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,孤,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,箍,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,辜,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,菇,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,鸪,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,蛄,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,古,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,估,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,盬,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,牯,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,股,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,鼓,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,蛊,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,故,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,固,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,锢,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,雇,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,顾,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,枯,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,苦,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,库,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,裤,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,吴,u,文读,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,蜈,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,吾,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,梧,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,五,u,文读,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,伍,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,午,u,文读,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,忤,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,误,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,K,悟,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,呼,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,虎,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,浒,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,琥,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,戽,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,胡,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,湖,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,狐,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,壶,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,乎,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,瓠,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,鬍,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,糊,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,蝴,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,瑚,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,户,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,沪,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,互,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,护,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,瓠,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,糊,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,乌,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,污,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,坞,,,
DQ01,德清乾元,太湖片-苕溪小片,,,模,Ø,恶,,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,褒,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,保,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,堡,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,宝,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,报,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,袍,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,抱,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,暴,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,豪,P,菢,,,
