point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山南阳方言的语音研究
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,妥,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,椭,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,唾,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,砣,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,惰,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,垛,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,T,堕,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,N,挼,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,N,糯,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,N,懦,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,L,骡,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,L,螺,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,L,脶,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,L,啰,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,L,裸,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,L,瘰,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,L,摞,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,锉,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,莝,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,矬,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,坐,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,座,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,蓑,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,梭,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,唆,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,莎,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,锁,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,琐,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,TS,唢,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,过,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,锅,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,戈,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,果,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,裹,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,餜,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,过,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,科,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,窠,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,棵,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,髁,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,蝌,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,颗,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,课,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,讹,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,K,卧,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,火,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,伙,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,货,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,和,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,禾,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,祸,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,夥,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,和,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,倭,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,踒,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,窝,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,涡,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,莴,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,涴,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,瘸,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,靴,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,戈,Ø,�,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,巴,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,芭,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,疤,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,笆,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,吧,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,把,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,靶,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,霸,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,欛,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,壩,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,坝,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,爸,a,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,怕,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,帕,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,爬,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,琶,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,杷,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,钯,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,P,耙,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,麻,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,痲,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,蟆,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,妈,a,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,马,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,码,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,玛,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,蚂,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,M,骂,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,N,拿,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS,茶,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS,搽,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS,䖳,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,楂,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,渣,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,诈,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,榨,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,炸,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,叉,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,杈,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,差,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,岔,a/o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,差,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,茬,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,查,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,乍,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,沙,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,纱,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,痧,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,砂,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,鲨,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,裟,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,洒,a,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,TS*,厦,a,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,家,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,傢,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,加,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,痂,ia,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,嘉,ia,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,枷,ia,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,袈,ia,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,假,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,贾,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,假,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,架,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,驾,ia,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,嫁,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,稼,ia,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,价,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,揢,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,牙,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,芽,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,衙,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,伢,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,蚜,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,雅,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,K,砑,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,虾,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,�,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,嚇,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,霞,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,瑕,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,遐,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,蝦,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,下,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,夏,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,厦,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,下,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,夏,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,暇,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,鸦,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,丫,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,桠,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,哑,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,麻,Ø,亚,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,补,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,谱,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,哺,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,布,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,佈,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,铺,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,潽,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,普,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,浦,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,铺,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,怖,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,蒲,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,菩,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,脯,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,葡,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,莆,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,部,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,簿,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,篰,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,步,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,捕,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,P,埠,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,模,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,模,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,摹,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,姥,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,暮,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,慕,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,墓,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,募,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,M,睦,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,都,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,都,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,赌,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,堵,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,肚,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,睹,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,妒,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,土,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,吐,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,吐,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,兔,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,徒,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,屠,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,途,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,涂,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,图,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,杜,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,肚,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,度,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,渡,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,T,镀,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,N,奴,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,N,努,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,N,怒,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,卢,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,炉,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,芦,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,鸬,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,颅,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,鲈,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,鲁,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,橹,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,虏,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,卤,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,路,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,赂,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,露,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,L,鹭,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,租,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,祖,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,组,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,做,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,粗,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,醋,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,措,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,错,o,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,苏,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,酥,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,素,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,诉,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,塑,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,TS,嗉,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,姑,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,孤,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,箍,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,辜,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,菇,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,鸪,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,蛄,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,古,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,估,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,盬,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,牯,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,股,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,鼓,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,蛊,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,故,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,固,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,锢,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,雇,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,顾,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,枯,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,苦,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,库,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,裤,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,吴,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,蜈,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,吾,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,梧,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,五,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,伍,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,午,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,忤,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,误,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,K,悟,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,呼,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,虎,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,浒,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,琥,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,戽,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,胡,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,湖,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,狐,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,壶,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,乎,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,瓠,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,鬍,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,糊,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,蝴,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,瑚,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,户,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,沪,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,互,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,护,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,瓠,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,糊,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,乌,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,污,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,坞,u,,
XS03,萧山南阳镇,太湖片-临绍小片,,,模,Ø,恶,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,豪,P,褒,,,
XS03,萧山南阳镇,太湖片-临绍小片,,,豪,P,保,ɔ,,
XS03,萧山南阳镇,太湖片-临绍小片,,,豪,P,堡,ɔ,,
XS03,萧山南阳镇,太湖片-临绍小片,,,豪,P,宝,ɔ,,
XS03,萧山南阳镇,太湖片-临绍小片,,,豪,P,报,ɔ,,
XS03,萧山南阳镇,太湖片-临绍小片,,,豪,P,袍,ɔ,,
