point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,海宁方言志2009
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,可,o,～以,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,俄,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,娥,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,我,o,文读,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,～胶,
HN01,海宁城关,太湖片-苏沪嘉小片,,,歌,Ø,屙,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,波,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,跛,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,簸,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,簸,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,播,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,破,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,P,薄,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,M,魔,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,M,摩,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,M,馍,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,朵,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,躲,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,剁,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,椭,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,唾,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,砣,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,垛,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,T,堕,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,N,挼,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,N,懦,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,L,骡,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,L,脶,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,L,啰,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,L,裸,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,L,摞,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,锉,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,坐,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,座,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,蓑,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,梭,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,唆,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,锁,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,琐,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,过,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,锅,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,戈,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,果,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,裹,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,餜,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,过,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,科,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,窠,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,棵,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,髁,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,颗,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,课,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,讹,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,K,卧,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,伙,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,和,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,禾,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,祸,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,和,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,倭,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,窝,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,莴,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,靴,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,芭,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,笆,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,吧,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,把,a/o,文读/白读,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,靶,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,欛,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,壩,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,爸,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,怕,a/o,文读/白读,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,帕,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,钯,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,P,耙,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,痲,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,蟆,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,妈,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,马,a/o,～虎,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,码,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,玛,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,N,拿,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS,搽,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,楂,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,榨,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,杈,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,乍,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,痧,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,砂,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,家,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,傢,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,加,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,痂,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,嘉,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,枷,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,袈,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,假,a,～装,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,贾,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,假,a,～装,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,架,a,白读,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,驾,ia,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,嫁,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,稼,ia,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,价,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,揢,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,牙,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,芽,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,衙,a,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,伢,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,蚜,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,雅,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,K,砑,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,虾,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,霞,ia,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,厦,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,鸦,ia,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,丫,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,桠,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,哑,o,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,麻,Ø,亚,ia,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,补,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,谱,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,哺,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,布,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,佈,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,铺,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,潽,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,普,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,浦,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,铺,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,怖,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,菩,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,脯,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,葡,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,莆,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,部,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,簿,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,篰,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,步,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,捕,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,P,埠,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,模,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,模,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,摹,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,姥,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,暮,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,慕,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,墓,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,募,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,M,睦,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,都,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,都,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,赌,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,堵,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,肚,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,睹,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,妒,u,文读,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,土,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,吐,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,吐,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,兔,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,徒,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,屠,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,途,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,涂,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,图,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,杜,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,肚,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,度,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,渡,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,T,镀,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,N,奴,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,N,努,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,N,怒,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,卢,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,炉,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,芦,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,鸬,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,颅,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,鲈,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,鲁,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,橹,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,虏,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,卤,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,路,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,赂,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,露,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,L,鹭,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,租,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,祖,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,组,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,做,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,粗,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,醋,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,措,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,错,o/u,/～拨伊钞票,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,苏,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,酥,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,素,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,诉,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,塑,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,TS,嗉,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,姑,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,孤,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,箍,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,辜,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,菇,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,鸪,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,蛄,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,古,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,估,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,盬,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,牯,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,股,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,鼓,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,蛊,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,故,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,固,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,锢,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,雇,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,顾,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,枯,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,苦,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,库,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,裤,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,吴,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,蜈,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,吾,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,梧,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,五,ŋ,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,伍,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,午,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,忤,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,误,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,K,悟,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,呼,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,虎,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,浒,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,琥,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,戽,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,胡,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,湖,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,狐,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,壶,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,乎,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,瓠,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,鬍,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,糊,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,蝴,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,瑚,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,户,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,沪,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,互,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,护,u,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,瓠,,,
HN01,海宁城关,太湖片-苏沪嘉小片,,,模,Ø,糊,u,,
