point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江省语言志
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,伙,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,货,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,和,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,禾,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,祸,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,夥,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,和,o,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,倭,u/o,/～七～八,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,踒,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,窝,u,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,涡,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,莴,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,涴,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,瘸,,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,靴,y,,
HZ01,杭州城区,太湖片-杭州小片,,,戈,Ø,�,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,巴,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,芭,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,疤,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,笆,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,吧,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,把,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,靶,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,霸,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,欛,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,壩,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,坝,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,爸,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,怕,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,帕,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,爬,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,琶,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,杷,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,钯,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,P,耙,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,麻,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,痲,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,蟆,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,妈,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,马,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,码,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,玛,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,蚂,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,M,骂,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,N,拿,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS,茶,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS,搽,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS,䖳,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,楂,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,渣,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,诈,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,榨,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,炸,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,叉,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,杈,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,差,a,～仿不多,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,岔,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,差,a,～仿不多,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,茬,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,查,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,乍,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,沙,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,纱,a,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,痧,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,砂,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,鲨,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,裟,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,洒,ɛ,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,TS*,厦,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,家,ia,当～人,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,傢,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,加,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,痂,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,嘉,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,枷,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,袈,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,假,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,贾,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,假,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,架,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,驾,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,嫁,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,稼,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,价,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,揢,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,牙,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,芽,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,衙,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,伢,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,蚜,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,雅,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,K,砑,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,虾,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,�,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,嚇,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,霞,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,瑕,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,遐,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,蝦,,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,下,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,夏,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,厦,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,下,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,夏,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,暇,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,鸦,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,丫,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,桠,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,哑,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,麻,Ø,亚,ia,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,补,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,谱,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,哺,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,布,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,佈,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,铺,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,潽,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,普,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,浦,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,铺,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,怖,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,蒲,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,菩,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,脯,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,葡,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,莆,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,部,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,簿,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,篰,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,步,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,捕,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,P,埠,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,模,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,模,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,摹,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,姥,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,暮,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,慕,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,墓,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,募,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,M,睦,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,都,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,都,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,赌,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,堵,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,肚,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,睹,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,妒,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,土,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,吐,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,吐,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,兔,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,徒,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,屠,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,途,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,涂,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,图,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,杜,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,肚,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,度,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,渡,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,T,镀,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,N,奴,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,N,努,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,N,怒,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,卢,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,炉,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,芦,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,鸬,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,颅,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,鲈,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,鲁,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,橹,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,虏,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,卤,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,路,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,赂,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,露,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,L,鹭,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,租,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,祖,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,组,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,做,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,粗,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,醋,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,措,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,错,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,苏,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,酥,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,素,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,诉,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,塑,o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,TS,嗉,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,姑,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,孤,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,箍,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,辜,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,菇,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,鸪,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,蛄,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,古,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,估,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,盬,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,牯,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,股,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,鼓,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,蛊,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,故,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,固,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,锢,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,雇,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,顾,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,枯,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,苦,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,库,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,裤,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,吴,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,蜈,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,吾,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,梧,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,五,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,伍,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,午,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,忤,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,误,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,K,悟,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,呼,u/o,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,虎,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,浒,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,琥,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,戽,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,胡,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,湖,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,狐,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,壶,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,乎,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,瓠,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,鬍,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,糊,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,蝴,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,瑚,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,户,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,沪,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,互,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,护,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,瓠,,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,糊,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,乌,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,污,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,坞,u,,
HZ01,杭州城区,太湖片-杭州小片,,,模,Ø,恶,u,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,褒,,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,保,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,堡,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,宝,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,报,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,袍,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,抱,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,暴,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,P,菢,,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,M,毛,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,M,冒,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,M,帽,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,M,瑁,,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,刀,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,叨,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,祷,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,岛,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,倒,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,捣,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,到,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,倒,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,滔,ɔ,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,掏,,,
HZ01,杭州城区,太湖片-杭州小片,,,豪,T,讨,ɔ,,
