point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,诸暨市直埠镇方言语音研究
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,轲,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,可,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,蛾,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,鹅,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,俄,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,娥,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,我,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,K,饿,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,Ø,荷,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,Ø,河,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,Ø,何,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,Ø,荷,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,Ø,贺,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,Ø,阿,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,歌,Ø,屙,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,茄,ia,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,波,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,菠,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,跛,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,簸,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,簸,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,播,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,颇,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,坡,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,玻,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,破,a/ou,白读/文读,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,婆,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,P,薄,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,M,魔,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,M,磨,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,M,摩,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,M,馍,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,M,蘑,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,M,磨,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,朵,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,躲,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,剁,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,妥,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,椭,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,唾,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,砣,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,惰,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,垛,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,T,堕,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,N,挼,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,N,糯,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,N,懦,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,L,骡,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,L,螺,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,L,脶,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,L,啰,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,L,裸,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,L,瘰,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,L,摞,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,锉,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,莝,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,矬,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,坐,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,座,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,蓑,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,梭,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,唆,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,莎,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,锁,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,琐,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,TS,唢,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,过,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,锅,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,戈,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,果,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,裹,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,餜,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,过,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,科,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,窠,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,棵,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,髁,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,蝌,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,颗,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,课,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,讹,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,K,卧,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,火,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,伙,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,货,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,和,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,禾,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,祸,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,夥,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,和,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,倭,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,踒,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,窝,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,涡,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,莴,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,涴,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,瘸,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,靴,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,戈,Ø,�,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,巴,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,芭,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,疤,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,笆,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,吧,a,网～,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,把,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,靶,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,霸,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,欛,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,壩,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,坝,a,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,爸,a,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,怕,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,帕,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,爬,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,琶,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,杷,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,钯,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,P,耙,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,麻,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,痲,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,蟆,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,妈,a,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,马,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,码,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,玛,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,蚂,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,M,骂,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,N,拿,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS,茶,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS,搽,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS,䖳,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,楂,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,渣,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,诈,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,榨,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,炸,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,叉,a/o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,杈,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,差,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,岔,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,差,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,茬,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,查,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,乍,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,沙,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,纱,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,痧,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,砂,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,鲨,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,裟,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,洒,a,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,TS*,厦,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,家,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,傢,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,加,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,痂,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,嘉,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,枷,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,袈,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,假,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,贾,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,假,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,架,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,驾,ia,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,嫁,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,稼,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,价,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,揢,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,牙,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,芽,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,衙,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,伢,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,蚜,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,雅,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,K,砑,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,虾,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,�,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,嚇,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,霞,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,瑕,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,遐,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,蝦,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,下,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,夏,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,厦,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,下,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,夏,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,暇,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,鸦,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,丫,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,桠,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,哑,o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,麻,Ø,亚,ia,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,补,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,谱,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,哺,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,布,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,佈,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,铺,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,潽,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,普,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,浦,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,铺,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,怖,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,蒲,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,菩,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,脯,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,葡,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,莆,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,部,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,簿,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,篰,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,步,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,捕,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,P,埠,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,模,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,模,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,摹,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,姥,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,暮,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,慕,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,墓,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,募,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,M,睦,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,都,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,都,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,赌,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,堵,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,肚,u/o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,睹,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,妒,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,土,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,吐,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,吐,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,兔,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,徒,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,屠,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,途,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,涂,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,图,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,杜,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,肚,u/o,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,度,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,渡,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,T,镀,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,N,奴,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,N,努,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,N,怒,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,卢,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,炉,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,芦,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,鸬,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,颅,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,鲈,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,鲁,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,橹,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,虏,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,卤,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,路,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,赂,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,露,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,L,鹭,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,租,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,祖,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,组,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,做,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,粗,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,醋,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,措,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,错,ou,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,苏,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,酥,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,素,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,诉,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,塑,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,TS,嗉,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,姑,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,孤,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,箍,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,辜,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,菇,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,鸪,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,蛄,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,古,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,估,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,盬,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,牯,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,股,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,鼓,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,蛊,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,故,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,固,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,锢,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,雇,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,顾,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,枯,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,苦,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,库,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,裤,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,吴,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,蜈,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,吾,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,梧,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,五,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,伍,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,午,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,忤,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,误,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,K,悟,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,Ø,呼,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,Ø,虎,u,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,Ø,浒,,,
ZJ03,诸暨直埠镇,太湖片-临绍小片,,,模,Ø,琥,,,
