slot,rhyme_group,slot_initial,mainlayer_value,vowel_components,is_diphthong,plot_x_front_to_back,plot_y_close_to_open,coordinate_status,mainlayer_row_count,point_count,share_within_slot,point_examples,coordinate_note
S1,麻,*a,ɑ,ɑ,False,3.0,3.0,placed,19,13,0.046341463414634146,BZ01 堡镇、CM01 崇明城桥、DB01 郎溪梅渚镇定埠、DY01 丹阳、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾,标准 IPA 舌位。
S1,麻,*a,uo,u+o,True,3.0,0.5,placed,18,6,0.04390243902439024,BL01 北仑、FY02 富阳东梓关、LP01 临平五杭、NT01 南通金沙镇、TL01 桐庐镇、YQ01 於潜,复元音取组成元音坐标的算术中点。
S1,麻,*a,ɔ,ɔ,False,3.0,2.0,placed,17,10,0.041463414634146344,CS01 川沙浦东、DQ01 德清乾元、FC01 奉城、MH01 闵行、SL01 三林、SZ02 嵊州长乐、WJ01 吴江市松陵、WJ02 吴江芦墟、ZP01 周浦、ZR01 真如,标准 IPA 舌位。
S1,麻,*a,ᴀ,ᴀ,False,2.03,3.0,placed,13,12,0.03170731707317073,BS01 宝山、CS01 川沙浦东、CS02 常熟虞山镇、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦、ZR01 真如,暂按央低不圆唇元音置于 a-ɑ 中间。
S1,麻,*a,ʊ,ʊ,False,2.7,0.45,placed,9,2,0.02195121951219512,QP01 青浦商榻、ZJ02 诸暨璜山镇,标准 IPA 舌位。
S1,麻,*a,u,u,False,3.0,0.0,placed,8,3,0.01951219512195122,AJ01 安吉安城、CS02 常熟虞山镇、WX01 无锡城区,标准 IPA 舌位。
S1,麻,*a,ia,i+a,True,0.525,1.5,placed,7,5,0.01707317073170732,BS01 宝山、CZ01 常州、HZ01 杭州城区、JT01 金坛、YQ01 於潜,复元音取组成元音坐标的算术中点。
S1,麻,*a,iɑ,i+ɑ,True,1.5,1.5,placed,7,6,0.01707317073170732,DY01 丹阳、FX01 奉贤、HM01 海门镇沙地话、HM02 海门四甲、JJ01 靖江城区、SJ01 松江镇,复元音取组成元音坐标的算术中点。
S1,麻,*a,ɤ,ɤ,False,3.0,1.0,placed,7,2,0.01707317073170732,QD01 启东吕四、SZ03 嵊州崇仁镇,标准 IPA 舌位。
S1,麻,*a,ɷ,ɷ,False,3.0,0.5,placed,7,2,0.01707317073170732,AJ01 安吉安城、HZ02 湖州市区,按项目既有口径置于后圆唇 o-u 之间。
S1,麻,*a,o̞,o̞,False,3.0,1.35,placed,5,1,0.012195121951219513,XC01 新昌城关,按 o 的降低变体放在 o 与 ɔ 之间。
S1,麻,*a,yo,y+o,True,1.5,0.5,placed,5,4,0.012195121951219513,HM02 海门四甲、QD01 启东吕四、TL01 桐庐镇、XD01 新登下港,复元音取组成元音坐标的算术中点。
S1,麻,*a,iɔ,i+ɔ,True,1.5,1.0,placed,3,3,0.007317073170731708,CS01 川沙浦东、SL01 三林、ZP01 周浦,复元音取组成元音坐标的算术中点。
S1,麻,*a,iᴀ,i+ᴀ,True,1.015,1.5,placed,1,1,0.0024390243902439024,XZ01 莘庄,复元音取组成元音坐标的算术中点。
S1,麻,*a,ɒ,ɒ,False,3.0,3.0,placed,1,1,0.0024390243902439024,QP01 青浦商榻,标准 IPA 舌位。
S1,麻,*a,əɯ,ə+ɯ,True,2.35,0.75,placed,1,1,0.0024390243902439024,WX01 无锡城区,复元音取组成元音坐标的算术中点。
S1,麻,*a,ɯo,ɯ+o,True,3.0,0.5,placed,1,1,0.0024390243902439024,HM02 海门四甲,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,u,u,False,3.0,0.0,placed,184,48,0.44878048780487806,AJ01 安吉安城、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CS02 常熟虞山镇、CX02 长兴、DQ01 德清乾元、FC01 奉城、FJ01 枫泾镇、FX01 奉贤、FY01 富阳城关,标准 IPA 舌位。
S2,歌戈,*ɑ,o,o,False,3.0,1.0,placed,71,28,0.17317073170731706,CX02 长兴、FC01 奉城、FX01 奉贤、HY01 海盐县城、HZ01 杭州城区、JS02 金山朱泾、KQ01 柯桥、KS01 昆山市区玉山镇、LA01 临安城区、MH01 闵行、PB01 彭埠镇、PH01 平湖城关,标准 IPA 舌位。
S2,歌戈,*ɑ,əu,ə+u,True,2.35,0.75,placed,45,16,0.10975609756097561,CX02 长兴、FH01 奉化西坞、FJ01 枫泾镇、HZ02 湖州市区、JT01 金坛、KS01 昆山市区玉山镇、NB01 宁波市区、QP01 青浦商榻、SJ02 泗泾、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ou,o+u,True,3.0,0.5,placed,15,3,0.036585365853658534,CX01 慈溪逍林、YY01 余姚城关、ZJ03 诸暨直埠镇,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ɤ,ɤ,False,3.0,1.0,placed,15,3,0.036585365853658534,HM02 海门四甲、QD01 启东吕四、SZ03 嵊州崇仁镇,标准 IPA 舌位。
S2,歌戈,*ɑ,ɤɯ,ɤ+ɯ,True,3.0,0.5,placed,15,3,0.036585365853658534,CZ01 常州、NT01 南通金沙镇、ZJ02 诸暨璜山镇,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,au,a+u,True,2.025,1.5,placed,12,3,0.02926829268292683,BL01 北仑、YX01 宜兴、ZS01 舟山定海,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ɷ,ɷ,False,3.0,0.5,placed,11,4,0.026829268292682926,AJ01 安吉安城、DB01 郎溪梅渚镇定埠、HZ02 湖州市区、YX01 宜兴,按项目既有口径置于后圆唇 o-u 之间。
S2,歌戈,*ɑ,əɯ,ə+ɯ,True,2.35,0.75,placed,9,2,0.02195121951219512,JY01 江阴城区澄江镇、WX01 无锡城区,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ɐu,ɐ+u,True,2.46,1.25,placed,5,1,0.012195121951219513,DS01 岱山岱西镇,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ɔi,ɔ+i,True,1.5,1.0,placed,5,1,0.012195121951219513,ZJ01 诸暨城关,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ə,ə,False,1.7,1.5,placed,5,1,0.012195121951219513,DY01 丹阳,标准 IPA 舌位。
S2,歌戈,*ɑ,ʌɯ,ʌ+ɯ,True,3.0,1.0,placed,5,1,0.012195121951219513,LY01 溧阳,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ʊ,ʊ,False,2.7,0.45,placed,4,2,0.00975609756097561,FY01 富阳城关、QP01 青浦商榻,标准 IPA 舌位。
S2,歌戈,*ɑ,ʌɤ,ʌ+ɤ,True,3.0,1.5,placed,4,1,0.00975609756097561,JJ01 靖江城区,复元音取组成元音坐标的算术中点。
S2,歌戈,*ɑ,ɯ,ɯ,False,3.0,0.0,placed,3,1,0.007317073170731708,CS02 常熟虞山镇,标准 IPA 舌位。
S2,歌戈,*ɑ,v,,False,,,needs_confirmation,1,1,0.0024390243902439024,SZ01 苏州城区,辅音/音节化音值，未放入元音舌位图。
S2,歌戈,*ɑ,ɔ,ɔ,False,3.0,2.0,placed,1,1,0.0024390243902439024,SZ02 嵊州长乐,标准 IPA 舌位。
S3,模,*u,u,u,False,3.0,0.0,placed,319,80,0.7780487804878049,AJ01 安吉安城、BL01 北仑、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CS02 常熟虞山镇、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DB01 郎溪梅渚镇定埠、DQ01 德清乾元,标准 IPA 舌位。
S3,模,*u,əu,ə+u,True,2.35,0.75,placed,30,16,0.07317073170731707,CX02 长兴、FH01 奉化西坞、FJ01 枫泾镇、HZ02 湖州市区、JT01 金坛、KS01 昆山市区玉山镇、NB01 宁波市区、QP01 青浦商榻、SJ02 泗泾、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢,复元音取组成元音坐标的算术中点。
S3,模,*u,o,o,False,3.0,1.0,placed,27,26,0.06585365853658537,CX02 长兴、FC01 奉城、FX01 奉贤、HY01 海盐县城、HZ01 杭州城区、JS02 金山朱泾、KS01 昆山市区玉山镇、LA01 临安城区、MH01 闵行、PB01 彭埠镇、PH01 平湖城关、SJ01 松江镇,标准 IPA 舌位。
S3,模,*u,əɯ,ə+ɯ,True,2.35,0.75,placed,5,2,0.012195121951219513,JY01 江阴城区澄江镇、WX01 无锡城区,复元音取组成元音坐标的算术中点。
S3,模,*u,ɯ,ɯ,False,3.0,0.0,placed,5,2,0.012195121951219513,CS02 常熟虞山镇、HM02 海门四甲,标准 IPA 舌位。
S3,模,*u,ou,o+u,True,3.0,0.5,placed,3,2,0.007317073170731708,CX01 慈溪逍林、YY01 余姚城关,复元音取组成元音坐标的算术中点。
S3,模,*u,ʊ,ʊ,False,2.7,0.45,placed,3,2,0.007317073170731708,FY01 富阳城关、QP01 青浦商榻,标准 IPA 舌位。
S3,模,*u,au,a+u,True,2.025,1.5,placed,2,2,0.004878048780487805,BL01 北仑、ZS01 舟山定海,复元音取组成元音坐标的算术中点。
S3,模,*u,ɤ,ɤ,False,3.0,1.0,placed,2,2,0.004878048780487805,HM02 海门四甲、QD01 启东吕四,标准 IPA 舌位。
S3,模,*u,ɤɯ,ɤ+ɯ,True,3.0,0.5,placed,2,2,0.004878048780487805,CZ01 常州、ZJ02 诸暨璜山镇,复元音取组成元音坐标的算术中点。
S3,模,*u,ɥ,,False,,,needs_confirmation,2,2,0.004878048780487805,CZ01 常州、YY01 余姚城关,唇腭近音，未放入元音舌位图。
S3,模,*u,ɷ,ɷ,False,3.0,0.5,placed,2,2,0.004878048780487805,DB01 郎溪梅渚镇定埠、YX01 宜兴,按项目既有口径置于后圆唇 o-u 之间。
S3,模,*u,v,,False,,,needs_confirmation,1,1,0.0024390243902439024,SZ01 苏州城区,辅音/音节化音值，未放入元音舌位图。
S3,模,*u,y,y,False,0.0,0.0,placed,1,1,0.0024390243902439024,SY02 上虞百官镇,标准 IPA 舌位。
S3,模,*u,ɐu,ɐ+u,True,2.46,1.25,placed,1,1,0.0024390243902439024,DS01 岱山岱西镇,复元音取组成元音坐标的算术中点。
S3,模,*u,ɔi,ɔ+i,True,1.5,1.0,placed,1,1,0.0024390243902439024,ZJ01 诸暨城关,复元音取组成元音坐标的算术中点。
S3,模,*u,ə,ə,False,1.7,1.5,placed,1,1,0.0024390243902439024,DY01 丹阳,标准 IPA 舌位。
S3,模,*u,ʌɤ,ʌ+ɤ,True,3.0,1.5,placed,1,1,0.0024390243902439024,JJ01 靖江城区,复元音取组成元音坐标的算术中点。
S3,模,*u,ʌɯ,ʌ+ɯ,True,3.0,1.0,placed,1,1,0.0024390243902439024,LY01 溧阳,复元音取组成元音坐标的算术中点。
S3,模,*u,ʮ,,False,,,needs_confirmation,1,1,0.0024390243902439024,DB01 郎溪梅渚镇定埠,汉语音韵学舌尖元音符号，未放入元音舌位图。
