point_id,point_name,rhyme_modern,phonetic,char_count,example_chars
CS01,川沙浦东,佳,iɔ,1,晒
CS01,川沙浦东,佳,iᴀ,2,崖 / 涯
CS01,川沙浦东,佳,ᴀ,21,共 21 个例字
CS01,川沙浦东,戈,u,52,共 52 个例字
CS01,川沙浦东,模,iɔ,1,错
CS01,川沙浦东,模,u,110,共 110 个例字
CS01,川沙浦东,歌,o,1,可
CS01,川沙浦东,歌,u,26,共 26 个例字
CS01,川沙浦东,歌,ɤ,1,个
CS01,川沙浦东,歌,ᴀ,6,共 6 个例字
CS01,川沙浦东,皆,iɛ,1,械
CS01,川沙浦东,皆,iᴀ,2,介 / 皆
CS01,川沙浦东,皆,ᴀ,15,共 15 个例字
CS01,川沙浦东,麻,iɔ,14,共 14 个例字
CS01,川沙浦东,麻,iᴀ,4,亚 / 雅 / 霞 / 鸦
CS01,川沙浦东,麻,o,17,共 17 个例字
CS01,川沙浦东,麻,ɔ,9,共 9 个例字
CS01,川沙浦东,麻,ɛ,1,拿
CS01,川沙浦东,麻,ᴀ,18,共 18 个例字
CS02,常熟虞山镇,佳,iᴀ,2,佳 / 涯
CS02,常熟虞山镇,佳,u,2,晒 / 洒
CS02,常熟虞山镇,佳,ᴀ,18,共 18 个例字
CS02,常熟虞山镇,戈,ioʔ,1,瘸
CS02,常熟虞山镇,戈,u,11,共 11 个例字
CS02,常熟虞山镇,戈,ɯ,40,共 40 个例字
CS02,常熟虞山镇,模,u,48,共 48 个例字
CS02,常熟虞山镇,模,ɯ,40,共 40 个例字
CS02,常熟虞山镇,歌,i,1,左
CS02,常熟虞山镇,歌,ɯ,26,共 26 个例字
CS02,常熟虞山镇,歌,ᴀ,1,大
CS02,常熟虞山镇,皆,ɛ,2,埋 / 械
CS02,常熟虞山镇,皆,ᴀ,9,共 9 个例字
CS02,常熟虞山镇,麻,iᴀ,9,共 9 个例字
CS02,常熟虞山镇,麻,u,37,共 37 个例字
CS02,常熟虞山镇,麻,ᴀ,16,共 16 个例字
CX01,慈溪逍林,佳,a,18,共 18 个例字
CX01,慈溪逍林,佳,ia,3,佳 / 崖 / 涯
CX01,慈溪逍林,佳,o,1,钗
CX01,慈溪逍林,佳,ou,1,稗
CX01,慈溪逍林,佳,u,1,稗
CX01,慈溪逍林,戈,a,1,破
CX01,慈溪逍林,戈,o,5,共 5 个例字
CX01,慈溪逍林,戈,ou,43,共 43 个例字
CX01,慈溪逍林,模,ou,12,共 12 个例字
CX01,慈溪逍林,模,u,86,共 86 个例字
CX01,慈溪逍林,歌,a,2,大 / 拖
CX01,慈溪逍林,歌,o,1,阿
CX01,慈溪逍林,歌,ou,23,共 23 个例字
CX01,慈溪逍林,皆,a,15,共 15 个例字
CX01,慈溪逍林,皆,e,1,斋
CX01,慈溪逍林,皆,ia,4,届 / 械 / 皆 / 谐
CX01,慈溪逍林,麻,a,4,伢 / 厦 / 洒 / 爸
CX01,慈溪逍林,麻,ia,8,共 8 个例字
CX01,慈溪逍林,麻,o,51,共 51 个例字
CX01,慈溪逍林,麻,ø,1,虾
CX02,长兴,佳,a,19,共 19 个例字
CX02,长兴,佳,ia,4,佳 / 崖 / 涯 / 解
CX02,长兴,佳,o,1,晒
CX02,长兴,戈,a,1,莎
CX02,长兴,戈,o,4,摩 / 朵 / 磨 / 躲
CX02,长兴,戈,u,8,共 8 个例字
CX02,长兴,戈,əu,21,共 21 个例字
CX02,长兴,模,o,3,慕 / 暮 / 模
CX02,长兴,模,u,25,共 25 个例字
CX02,长兴,模,əu,51,共 51 个例字
CX02,长兴,歌,a,5,共 5 个例字
CX02,长兴,歌,o,1,可
CX02,长兴,歌,u,1,何
CX02,长兴,歌,əu,17,共 17 个例字
CX02,长兴,皆,a,14,共 14 个例字
CX02,长兴,皆,ia,1,皆
CX02,长兴,麻,a,16,共 16 个例字
CX02,长兴,麻,ia,5,共 5 个例字
CX02,长兴,麻,o,33,共 33 个例字
CZ01,常州,佳,a,20,共 20 个例字
CZ01,常州,佳,ia,2,佳 / 解
CZ01,常州,佳,o,2,罢 / 钗
CZ01,常州,戈,o,1,蘑
CZ01,常州,戈,ɤɯ,54,共 54 个例字
CZ01,常州,模,aɤ,1,姥
CZ01,常州,模,u,95,共 95 个例字
CZ01,常州,模,ɔʔ,1,恶
CZ01,常州,模,ɤɯ,7,共 7 个例字
CZ01,常州,模,ɥ,7,共 7 个例字
CZ01,常州,歌,a,4,他 / 哪 / 大 / 那
CZ01,常州,歌,ɤɯ,32,共 32 个例字
CZ01,常州,皆,a,13,共 13 个例字
CZ01,常州,皆,ia,7,共 7 个例字
CZ01,常州,皆,æi,2,豺 / 骇
CZ01,常州,麻,a,4,妈 / 洒 / 爸 / 马
CZ01,常州,麻,ia,22,共 22 个例字
CZ01,常州,麻,o,54,共 54 个例字
DB01,郎溪梅渚镇定埠,佳,iɑ,2,崖 / 涯
DB01,郎溪梅渚镇定埠,佳,ɑ,3,洒 / 稗 / 罢
DB01,郎溪梅渚镇定埠,佳,ᴇ,18,共 18 个例字
DB01,郎溪梅渚镇定埠,戈,əʔ,1,薄
DB01,郎溪梅渚镇定埠,戈,ɷ,45,共 45 个例字
DB01,郎溪梅渚镇定埠,模,u,71,共 71 个例字
DB01,郎溪梅渚镇定埠,模,ɷ,26,共 26 个例字
DB01,郎溪梅渚镇定埠,模,ʮ,11,共 11 个例字
DB01,郎溪梅渚镇定埠,歌,a,1,他
DB01,郎溪梅渚镇定埠,歌,ɑ,3,哪 / 大 / 那
DB01,郎溪梅渚镇定埠,歌,əʔ,1,个
DB01,郎溪梅渚镇定埠,歌,ɷ,22,共 22 个例字
DB01,郎溪梅渚镇定埠,皆,ᴇ,15,共 15 个例字
DB01,郎溪梅渚镇定埠,麻,iɑ,9,共 9 个例字
DB01,郎溪梅渚镇定埠,麻,ɑ,56,共 56 个例字
DQ01,德清乾元,佳,a,21,共 21 个例字
DQ01,德清乾元,佳,ia,3,佳 / 崖 / 涯
DQ01,德清乾元,佳,ɔ,1,罢
DQ01,德清乾元,佳,ᴇ,1,奶
DQ01,德清乾元,戈,u,54,共 54 个例字
DQ01,德清乾元,戈,ɔ,1,朵
DQ01,德清乾元,戈,ᴇ,1,簸
DQ01,德清乾元,模,oʔ,1,塑
DQ01,德清乾元,模,u,103,共 103 个例字
DQ01,德清乾元,歌,a,4,他 / 何 / 大 / 拖
DQ01,德清乾元,歌,aʔ,1,哪
DQ01,德清乾元,歌,oʔ,1,个
DQ01,德清乾元,歌,u,30,共 30 个例字
DQ01,德清乾元,歌,ɔ,2,可 / 挪
DQ01,德清乾元,皆,a,13,共 13 个例字
DQ01,德清乾元,皆,ia,4,届 / 械 / 皆 / 阶
DQ01,德清乾元,麻,a,15,共 15 个例字
DQ01,德清乾元,麻,ia,9,共 9 个例字
DQ01,德清乾元,麻,u,1,蟆
DQ01,德清乾元,麻,ɔ,42,共 42 个例字
DS01,岱山岱西镇,佳,a,19,共 19 个例字
DS01,岱山岱西镇,佳,e,1,奶
DS01,岱山岱西镇,佳,ia,2,崖 / 涯
DS01,岱山岱西镇,佳,o,2,稗 / 钗
DS01,岱山岱西镇,佳,ᴇ,3,懈 / 柴 / 筛
DS01,岱山岱西镇,戈,o,2,朵 / 躲
DS01,岱山岱西镇,戈,u,2,唾 / 莴
DS01,岱山岱西镇,戈,ɐu,50,共 50 个例字
DS01,岱山岱西镇,模,u,105,共 105 个例字
DS01,岱山岱西镇,模,ɐu,10,共 10 个例字
DS01,岱山岱西镇,歌,a,5,共 5 个例字
DS01,岱山岱西镇,歌,o,2,我 / 阿
DS01,岱山岱西镇,歌,ɐu,25,共 25 个例字
DS01,岱山岱西镇,歌,ɔ,2,哪 / 萝
DS01,岱山岱西镇,歌,ɵ,1,鹅
DS01,岱山岱西镇,皆,a,14,共 14 个例字
DS01,岱山岱西镇,皆,ia,1,皆
DS01,岱山岱西镇,皆,iᴇ,1,械
DS01,岱山岱西镇,麻,a,7,共 7 个例字
DS01,岱山岱西镇,麻,ia,9,共 9 个例字
DS01,岱山岱西镇,麻,o,50,共 50 个例字
DS01,岱山岱西镇,麻,ɔ,1,马
DS01,岱山岱西镇,麻,ɵ,1,牙
DY01,丹阳,佳,ie,2,蟹 / 街
DY01,丹阳,佳,iɑ,3,佳 / 崖 / 涯
DY01,丹阳,佳,æ,11,共 11 个例字
DY01,丹阳,佳,ɑ,18,共 18 个例字
DY01,丹阳,戈,yɑ,1,瘸
DY01,丹阳,戈,ə,53,共 53 个例字
DY01,丹阳,模,u,96,共 96 个例字
DY01,丹阳,模,ə,11,共 11 个例字
DY01,丹阳,歌,æʔ,1,个
DY01,丹阳,歌,ɑ,4,他 / 哪 / 大 / 那
DY01,丹阳,歌,ɔ,1,萝
DY01,丹阳,歌,ə,30,共 30 个例字
DY01,丹阳,皆,ie,4,偕 / 械 / 皆 / 阶
DY01,丹阳,皆,æ,5,共 5 个例字
DY01,丹阳,皆,ɑ,9,共 9 个例字
DY01,丹阳,麻,iɑ,24,共 24 个例字
DY01,丹阳,麻,ɑ,31,共 31 个例字
FC01,奉城,佳,iɑ,2,佳 / 涯
FC01,奉城,佳,o,2,晒 / 钗
FC01,奉城,佳,ɑ,17,共 17 个例字
FC01,奉城,戈,o,5,共 5 个例字
FC01,奉城,戈,u,31,共 31 个例字
FC01,奉城,模,o,6,共 6 个例字
FC01,奉城,模,u,84,共 84 个例字
FC01,奉城,歌,i,1,左
FC01,奉城,歌,u,20,共 20 个例字
FC01,奉城,歌,ɑ,2,他 / 大
FC01,奉城,歌,ɔ,1,可
FC01,奉城,歌,ɯ,1,哥
FC01,奉城,皆,iɑ,2,皆 / 阶
FC01,奉城,皆,ɑ,10,共 10 个例字
FC01,奉城,麻,iɑ,7,共 7 个例字
FC01,奉城,麻,o,25,共 25 个例字
FC01,奉城,麻,ɑ,14,共 14 个例字
FC01,奉城,麻,ɔ,4,下 / 丫 / 哑 / 夏
FH01,奉化西坞,佳,a,19,共 19 个例字
FH01,奉化西坞,佳,ia,3,佳 / 崖 / 涯
FH01,奉化西坞,佳,ie,1,懈
FH01,奉化西坞,佳,o,1,稗
FH01,奉化西坞,戈,o,6,共 6 个例字
FH01,奉化西坞,戈,u,1,和
FH01,奉化西坞,戈,əu,44,共 44 个例字
FH01,奉化西坞,模,u,94,共 94 个例字
FH01,奉化西坞,模,y,4,素 / 苏 / 诉 / 酥
FH01,奉化西坞,模,əu,3,吾 / 模 / 虏
FH01,奉化西坞,歌,a,4,他 / 哪 / 大 / 那
FH01,奉化西坞,歌,o,2,哪 / 挪
FH01,奉化西坞,歌,əu,21,共 21 个例字
FH01,奉化西坞,皆,a,10,共 10 个例字
FH01,奉化西坞,皆,ie,2,皆 / 骇
FH01,奉化西坞,皆,ɛ,1,阶
FH01,奉化西坞,皆,ɛi,1,埋
FH01,奉化西坞,麻,a,3,巴 / 洒 / 爸
FH01,奉化西坞,麻,ia,6,共 6 个例字
FH01,奉化西坞,麻,o,48,共 48 个例字
FJ01,枫泾镇,佳,iᴀ,2,佳 / 涯
FJ01,枫泾镇,佳,o,1,晒
FJ01,枫泾镇,佳,ᴀ,20,共 20 个例字
FJ01,枫泾镇,戈,o,1,朵
FJ01,枫泾镇,戈,u,24,共 24 个例字
FJ01,枫泾镇,戈,əu,9,共 9 个例字
FJ01,枫泾镇,模,o,2,模 / 错
FJ01,枫泾镇,模,u,71,共 71 个例字
FJ01,枫泾镇,模,əu,16,共 16 个例字
FJ01,枫泾镇,歌,o,1,可
FJ01,枫泾镇,歌,u,14,共 14 个例字
FJ01,枫泾镇,歌,əu,7,共 7 个例字
FJ01,枫泾镇,歌,ɤ,1,个
FJ01,枫泾镇,歌,ᴀ,2,他 / 大
FJ01,枫泾镇,皆,iᴀ,2,皆 / 阶
FJ01,枫泾镇,皆,ɛ,2,挨 / 豺
FJ01,枫泾镇,皆,ᴀ,11,共 11 个例字
FJ01,枫泾镇,麻,iᴀ,8,共 8 个例字
FJ01,枫泾镇,麻,o,27,共 27 个例字
FJ01,枫泾镇,麻,ɔ,1,下
FJ01,枫泾镇,麻,ᴀ,20,共 20 个例字
FX01,奉贤,佳,iɑ,2,佳 / 涯
FX01,奉贤,佳,o,1,晒
FX01,奉贤,佳,ɑ,20,共 20 个例字
FX01,奉贤,戈,o,4,摩 / 朵 / 磨 / 魔
FX01,奉贤,戈,u,39,共 39 个例字
FX01,奉贤,模,o,6,共 6 个例字
FX01,奉贤,模,u,97,共 97 个例字
FX01,奉贤,歌,i,1,左
FX01,奉贤,歌,u,22,共 22 个例字
FX01,奉贤,歌,ɑ,2,他 / 大
FX01,奉贤,歌,ɔ,1,可
FX01,奉贤,歌,ɯ,1,个
FX01,奉贤,皆,e,1,挨
FX01,奉贤,皆,iɑ,4,介 / 戒 / 界 / 皆
FX01,奉贤,皆,iɛ,1,械
FX01,奉贤,皆,ɑ,9,共 9 个例字
FX01,奉贤,麻,iɑ,9,共 9 个例字
FX01,奉贤,麻,o,31,共 31 个例字
FX01,奉贤,麻,ɑ,22,共 22 个例字
FX01,奉贤,麻,ɔ,3,下 / 哑 / 夏
FY01,富阳城关,佳,a,19,共 19 个例字
FY01,富阳城关,佳,o,3,佳 / 晒 / 稗
FY01,富阳城关,佳,ɛ,1,奶
FY01,富阳城关,戈,a,1,磨
FY01,富阳城关,戈,i,1,骡
FY01,富阳城关,戈,o,1,破
FY01,富阳城关,戈,u,24,共 24 个例字
FY01,富阳城关,戈,ua,1,瘸
FY01,富阳城关,戈,ʊ,27,共 27 个例字
FY01,富阳城关,模,u,63,共 63 个例字
FY01,富阳城关,模,ʊ,52,共 52 个例字
FY01,富阳城关,歌,a,6,共 6 个例字
FY01,富阳城关,歌,o,3,何 / 挪 / 阿
FY01,富阳城关,歌,u,4,何 / 河 / 荷 / 贺
FY01,富阳城关,歌,ʊ,23,共 23 个例字
FY01,富阳城关,皆,a,17,共 17 个例字
FY01,富阳城关,皆,iɛ,2,届 / 皆
FY01,富阳城关,麻,a,6,共 6 个例字
FY01,富阳城关,麻,ia,6,共 6 个例字
FY01,富阳城关,麻,o,55,共 55 个例字
FY02,富阳东梓关,佳,a,17,共 17 个例字
FY02,富阳东梓关,佳,ia,5,共 5 个例字
FY02,富阳东梓关,佳,uo,3,晒 / 稗 / 钗
FY02,富阳东梓关,戈,a,2,破 / 磨
FY02,富阳东梓关,戈,u,44,共 44 个例字
FY02,富阳东梓关,戈,uo,1,蓑
FY02,富阳东梓关,戈,ɛ,1,簸
FY02,富阳东梓关,模,u,102,共 102 个例字
FY02,富阳东梓关,歌,a,2,哪 / 拖
FY02,富阳东梓关,歌,o,1,阿
FY02,富阳东梓关,歌,u,25,共 25 个例字
FY02,富阳东梓关,歌,uo,2,哪 / 挪
FY02,富阳东梓关,歌,ɔ,1,萝
FY02,富阳东梓关,皆,a,14,共 14 个例字
FY02,富阳东梓关,皆,ia,1,豺
FY02,富阳东梓关,皆,iɛ,4,介 / 届 / 械 / 皆
FY02,富阳东梓关,皆,ɛ,1,斋
FY02,富阳东梓关,麻,a,2,厦 / 拿
FY02,富阳东梓关,麻,ia,8,共 8 个例字
FY02,富阳东梓关,麻,uo,50,共 50 个例字
GQ01,高桥,佳,iᴀ,2,佳 / 涯
GQ01,高桥,佳,o,1,晒
GQ01,高桥,佳,ᴀ,18,共 18 个例字
GQ01,高桥,戈,u,36,共 36 个例字
GQ01,高桥,模,o,1,错
GQ01,高桥,模,u,89,共 89 个例字
GQ01,高桥,歌,o,1,可
GQ01,高桥,歌,u,21,共 21 个例字
GQ01,高桥,歌,ᴀ,2,他 / 大
GQ01,高桥,皆,e,1,挨
GQ01,高桥,皆,iᴀ,3,届 / 皆 / 阶
GQ01,高桥,皆,ɛ,1,豺
GQ01,高桥,皆,ᴀ,7,共 7 个例字
GQ01,高桥,麻,iᴀ,7,共 7 个例字
GQ01,高桥,麻,o,21,共 21 个例字
GQ01,高桥,麻,ɔ,1,丫
GQ01,高桥,麻,ɛ,1,拿
GQ01,高桥,麻,ᴀ,19,共 19 个例字
HM01,海门镇沙地话,佳,iɑ,3,崖 / 涯 / 解
HM01,海门镇沙地话,佳,o,3,晒 / 罢 / 钗
HM01,海门镇沙地话,佳,ɑ,20,共 20 个例字
HM01,海门镇沙地话,佳,ɛ,4,买 / 卖 / 懈 / 摆
HM01,海门镇沙地话,戈,iɑ,1,瘸
HM01,海门镇沙地话,戈,u,58,共 58 个例字
HM01,海门镇沙地话,模,u,113,共 113 个例字
HM01,海门镇沙地话,歌,u,24,共 24 个例字
HM01,海门镇沙地话,歌,ɑ,8,共 8 个例字
HM01,海门镇沙地话,皆,iɑ,5,共 5 个例字
HM01,海门镇沙地话,皆,iɛ,2,械 / 谐
HM01,海门镇沙地话,皆,ɑ,16,共 16 个例字
HM01,海门镇沙地话,皆,ɛ,6,共 6 个例字
HM01,海门镇沙地话,麻,iɑ,17,共 17 个例字
HM01,海门镇沙地话,麻,o,40,共 40 个例字
HM01,海门镇沙地话,麻,uo,1,丫
HM01,海门镇沙地话,麻,ɑ,19,共 19 个例字
HM02,海门四甲,佳,iɑ,3,佳 / 崖 / 涯
HM02,海门四甲,佳,yo,1,钗
HM02,海门四甲,佳,ɑ,19,共 19 个例字
HM02,海门四甲,佳,ɛ,2,懈 / 隘
HM02,海门四甲,戈,ɤ,67,共 67 个例字
HM02,海门四甲,模,ɤ,10,共 10 个例字
HM02,海门四甲,模,ɯ,105,共 105 个例字
HM02,海门四甲,歌,iɛ,1,挪
HM02,海门四甲,歌,ɑ,5,共 5 个例字
HM02,海门四甲,歌,ɛ,1,大
HM02,海门四甲,歌,ɤ,36,共 36 个例字
HM02,海门四甲,皆,ɑ,12,共 12 个例字
HM02,海门四甲,皆,ɛ,4,偕 / 械 / 谐 / 骇
HM02,海门四甲,麻,iɑ,15,共 15 个例字
HM02,海门四甲,麻,o,20,共 20 个例字
HM02,海门四甲,麻,yo,14,共 14 个例字
HM02,海门四甲,麻,ɑ,9,共 9 个例字
HM02,海门四甲,麻,ɯo,13,共 13 个例字
HN01,海宁城关,佳,a,18,共 18 个例字
HN01,海宁城关,佳,ia,1,佳
HN01,海宁城关,佳,o,1,晒
HN01,海宁城关,戈,o,4,唆 / 朵 / 琐 / 锁
HN01,海宁城关,戈,u,31,共 31 个例字
HN01,海宁城关,模,o,1,错
HN01,海宁城关,模,u,100,共 100 个例字
HN01,海宁城关,模,ŋ,1,五
HN01,海宁城关,歌,a,2,他 / 大
HN01,海宁城关,歌,o,2,可 / 我
HN01,海宁城关,歌,u,22,共 22 个例字
HN01,海宁城关,皆,a,12,共 12 个例字
HN01,海宁城关,皆,ia,2,届 / 阶
HN01,海宁城关,皆,iɛ,1,械
HN01,海宁城关,麻,a,18,共 18 个例字
HN01,海宁城关,麻,ia,5,共 5 个例字
HN01,海宁城关,麻,o,38,共 38 个例字
HY01,海盐县城,佳,iɑ,3,佳 / 崖 / 涯
HY01,海盐县城,佳,o,2,晒 / 钗
HY01,海盐县城,佳,ɑ,21,共 21 个例字
HY01,海盐县城,戈,o,8,共 8 个例字
HY01,海盐县城,戈,u,42,共 42 个例字
HY01,海盐县城,模,n,1,五
HY01,海盐县城,模,o,2,摹 / 模
HY01,海盐县城,模,u,100,共 100 个例字
HY01,海盐县城,模,əʔ,1,葡
HY01,海盐县城,歌,e,1,哥
HY01,海盐县城,歌,o,5,共 5 个例字
HY01,海盐县城,歌,u,21,共 21 个例字
HY01,海盐县城,歌,ɑ,3,他 / 大 / 阿
HY01,海盐县城,皆,iɑ,2,届 / 皆
HY01,海盐县城,皆,iɛ,1,械
HY01,海盐县城,皆,ɑ,13,共 13 个例字
HY01,海盐县城,皆,ɛ,1,豺
HY01,海盐县城,麻,iɑ,5,共 5 个例字
HY01,海盐县城,麻,o,36,共 36 个例字
HY01,海盐县城,麻,ɑ,14,共 14 个例字
HY01,海盐县城,麻,ɤ,1,虾
HZ01,杭州城区,佳,a,3,懈 / 罢 / 钗
HZ01,杭州城区,佳,ia,1,佳
HZ01,杭州城区,佳,iɛ,6,共 6 个例字
HZ01,杭州城区,佳,ɛ,12,共 12 个例字
HZ01,杭州城区,戈,o,34,共 34 个例字
HZ01,杭州城区,戈,u,11,共 11 个例字
HZ01,杭州城区,模,o,22,共 22 个例字
HZ01,杭州城区,模,u,82,共 82 个例字
HZ01,杭州城区,歌,a,3,他 / 大 / 那
HZ01,杭州城区,歌,o,28,共 28 个例字
HZ01,杭州城区,皆,a,1,尬
HZ01,杭州城区,皆,iɛ,10,共 10 个例字
HZ01,杭州城区,皆,ɛ,3,埋 / 拜 / 排
HZ01,杭州城区,麻,a,34,共 34 个例字
HZ01,杭州城区,麻,ia,28,共 28 个例字
HZ01,杭州城区,麻,ɛ,1,洒
HZ02,湖州市区,佳,a,19,共 19 个例字
HZ02,湖州市区,佳,ia,2,崖 / 涯
HZ02,湖州市区,佳,ɷ,2,晒 / 钗
HZ02,湖州市区,戈,u,11,共 11 个例字
HZ02,湖州市区,戈,əu,29,共 29 个例字
HZ02,湖州市区,戈,ɷ,8,共 8 个例字
HZ02,湖州市区,模,u,26,共 26 个例字
HZ02,湖州市区,模,w,2,乌 / 污
HZ02,湖州市区,模,əu,77,共 77 个例字
HZ02,湖州市区,模,ɷ,1,涂
HZ02,湖州市区,歌,a,2,哥 / 大
HZ02,湖州市区,歌,e,1,个
HZ02,湖州市区,歌,u,5,共 5 个例字
HZ02,湖州市区,歌,əu,20,共 20 个例字
HZ02,湖州市区,皆,a,13,共 13 个例字
HZ02,湖州市区,皆,ia,1,械
HZ02,湖州市区,麻,a,18,共 18 个例字
HZ02,湖州市区,麻,ia,6,共 6 个例字
HZ02,湖州市区,麻,ɷ,36,共 36 个例字
JD01,嘉定城关,佳,iᴀ,3,佳 / 崖 / 涯
JD01,嘉定城关,佳,iᴇ,2,懈 / 解
JD01,嘉定城关,佳,o,2,晒 / 钗
JD01,嘉定城关,佳,ᴀ,19,共 19 个例字
JD01,嘉定城关,戈,u,53,共 53 个例字
JD01,嘉定城关,模,o,1,错
JD01,嘉定城关,模,u,112,共 112 个例字
JD01,嘉定城关,歌,o,1,挪
JD01,嘉定城关,歌,u,28,共 28 个例字
JD01,嘉定城关,歌,ᴀ,3,他 / 哪 / 那
JD01,嘉定城关,皆,iᴀ,3,皆 / 芥 / 谐
JD01,嘉定城关,皆,iᴇ,1,械
JD01,嘉定城关,皆,ᴀ,14,共 14 个例字
JD01,嘉定城关,皆,ᴇ,2,埋 / 豺
JD01,嘉定城关,麻,iᴀ,8,共 8 个例字
JD01,嘉定城关,麻,o,43,共 43 个例字
JD01,嘉定城关,麻,u,1,拿
JD01,嘉定城关,麻,ø,1,虾
JD01,嘉定城关,麻,ᴀ,18,共 18 个例字
JJ01,靖江城区,佳,iɑ,1,崖
JJ01,靖江城区,佳,o,1,罢
JJ01,靖江城区,佳,æ,19,共 19 个例字
