onset_class,slot,rhyme_group,slot_initial,rank_within_onset_slot,mainlayer_value,vowel_components,is_diphthong,plot_x_front_to_back,plot_y_close_to_open,coordinate_status,point_count,share_within_onset_slot,point_list
K,S2,歌戈,*ɑ,2,əu,ə+u,True,2.35,0.75,placed,16,0.1951219512195122,CX02 长兴、FH01 奉化西坞、FJ01 枫泾镇、HZ02 湖州市区、JT01 金坛、KS01 昆山市区玉山镇、NB01 宁波市区、QP01 青浦商榻、SJ02 泗泾、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、YX02 鄞县中区
K,S2,歌戈,*ɑ,3,o,o,False,3.0,1.0,placed,11,0.13414634146341464,HZ01 杭州城区、KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ02 嵊州长乐、XC01 新昌城关、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
K,S2,歌戈,*ɑ,4,ɷ,ɷ,False,3.0,0.5,placed,3,0.036585365853658534,AJ01 安吉安城、DB01 郎溪梅渚镇定埠、YX01 宜兴
K,S2,歌戈,*ɑ,5,ou,o+u,True,3.0,0.5,placed,3,0.036585365853658534,CX01 慈溪逍林、YY01 余姚城关、ZJ03 诸暨直埠镇
K,S2,歌戈,*ɑ,6,ɤɯ,ɤ+ɯ,True,3.0,0.5,placed,3,0.036585365853658534,CZ01 常州、NT01 南通金沙镇、ZJ02 诸暨璜山镇
K,S2,歌戈,*ɑ,7,ɤ,ɤ,False,3.0,1.0,placed,3,0.036585365853658534,HM02 海门四甲、QD01 启东吕四、SZ03 嵊州崇仁镇
K,S2,歌戈,*ɑ,8,au,a+u,True,2.025,1.5,placed,2,0.024390243902439025,BL01 北仑、ZS01 舟山定海
K,S2,歌戈,*ɑ,9,əɯ,ə+ɯ,True,2.35,0.75,placed,2,0.024390243902439025,JY01 江阴城区澄江镇、WX01 无锡城区
K,S2,歌戈,*ɑ,10,ɯ,ɯ,False,3.0,0.0,placed,1,0.012195121951219513,CS02 常熟虞山镇
K,S2,歌戈,*ɑ,11,ɐu,ɐ+u,True,2.46,1.25,placed,1,0.012195121951219513,DS01 岱山岱西镇
K,S2,歌戈,*ɑ,12,ə,ə,False,1.7,1.5,placed,1,0.012195121951219513,DY01 丹阳
K,S2,歌戈,*ɑ,13,ʊ,ʊ,False,2.7,0.45,placed,1,0.012195121951219513,FY01 富阳城关
K,S2,歌戈,*ɑ,14,ʌɤ,ʌ+ɤ,True,3.0,1.5,placed,1,0.012195121951219513,JJ01 靖江城区
K,S2,歌戈,*ɑ,15,ʌɯ,ʌ+ɯ,True,3.0,1.0,placed,1,0.012195121951219513,LY01 溧阳
K,S2,歌戈,*ɑ,16,ɔi,ɔ+i,True,1.5,1.0,placed,1,0.012195121951219513,ZJ01 诸暨城关
K,S3,模,*u,1,u,u,False,3.0,0.0,placed,69,0.8414634146341463,AJ01 安吉安城、BL01 北仑、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CS02 常熟虞山镇、CX01 慈溪逍林、CZ01 常州、DB01 郎溪梅渚镇定埠、DQ01 德清乾元、DS01 岱山岱西镇、DY01 丹阳、FC01 奉城、FH01 奉化西坞、FX01 奉贤、FY01 富阳城关、FY02 富阳东梓关、GQ01 高桥、HM01 海门镇沙地话、HN01 海宁硖石、HY01 海盐县城、HZ01 杭州城区、JD01 嘉定城厢、JJ01 靖江城区、JS01 嘉善魏塘镇、JS02 金山朱泾、JT01 金坛、JW01 江湾、JX01 嘉兴城区、JY01 江阴城区澄江镇、KQ01 柯桥、LA01 临安城区、LP01 临平五杭、LT01 练塘、LY01 溧阳、MH01 闵行、NB01 宁波市区、NH01 南汇惠南镇、NT01 南通金沙镇、PB01 彭埠镇、PH01 平湖城关、QD01 启东吕四、SH01 上海市区、SJ01 松江镇、SL01 三林、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ02 嵊州长乐、SZ03 嵊州崇仁镇、TL01 桐庐镇、TX01 桐乡城区、WX01 无锡城区、XC01 新昌城关、XD01 新登下港、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、XZ01 莘庄、YQ01 於潜、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZP01 周浦、ZR01 真如、ZS01 舟山定海
K,S3,模,*u,2,əu,ə+u,True,2.35,0.75,placed,12,0.14634146341463414,CX02 长兴、FJ01 枫泾镇、HZ02 湖州市区、KS01 昆山市区玉山镇、QP01 青浦商榻、SJ02 泗泾、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇
K,S3,模,*u,3,ɯ,ɯ,False,3.0,0.0,placed,1,0.012195121951219513,HM02 海门四甲
M,S0,佳皆,*ai,1,a,a,False,1.05,3.0,placed,47,0.573170731707317,AJ01 安吉安城、BL01 北仑、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DQ01 德清乾元、DS01 岱山岱西镇、FH01 奉化西坞、FY01 富阳城关、FY02 富阳东梓关、HN01 海宁硖石、HZ02 湖州市区、JS01 嘉善魏塘镇、JT01 金坛、KQ01 柯桥、KS01 昆山市区玉山镇、LA01 临安城区、LP01 临平五杭、LT01 练塘、MH01 闵行、NB01 宁波市区、NH01 南汇惠南镇、PB01 彭埠镇、PH01 平湖城关、QD01 启东吕四、SX01 绍兴城区东头埭、SZ02 嵊州长乐、SZ03 嵊州崇仁镇、TC01 太仓沙溪、TC02 太仓城厢、TL01 桐庐镇、TX01 桐乡城区、WX01 无锡城区、WX02 吴县光福镇、XC01 新昌城关、XD01 新登下港、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、YQ01 於潜、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZS01 舟山定海
M,S0,佳皆,*ai,2,ᴀ,ᴀ,False,2.03,3.0,placed,13,0.15853658536585366,BS01 宝山、CS01 川沙浦东、CS02 常熟虞山镇、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、LY01 溧阳、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦、ZR01 真如
M,S0,佳皆,*ai,3,ɑ,ɑ,False,3.0,3.0,placed,13,0.15853658536585366,BZ01 堡镇、CM01 崇明城桥、DY01 丹阳、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HM02 海门四甲、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾、SZ01 苏州城区
M,S0,佳皆,*ai,4,æ,æ,False,0.88,2.5,placed,3,0.036585365853658534,JJ01 靖江城区、JY01 江阴城区澄江镇、NT01 南通金沙镇
M,S0,佳皆,*ai,5,ɔ,ɔ,False,3.0,2.0,placed,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
M,S0,佳皆,*ai,6,ᴇ,ᴇ,False,0.53,1.55,placed,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
M,S0,佳皆,*ai,7,ɛ,ɛ,False,0.7,2.0,placed,1,0.012195121951219513,HZ01 杭州城区
M,S0,佳皆,*ai,8,ɒ,ɒ,False,3.0,3.0,placed,1,0.012195121951219513,QP01 青浦商榻
M,S0,佳皆,*ai,9,ɐ,ɐ,False,1.92,2.5,placed,1,0.012195121951219513,SY02 上虞百官镇
M,S1,麻,*a,1,o,o,False,3.0,1.0,placed,64,0.7804878048780488,BL01 北仑、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DS01 岱山岱西镇、FC01 奉城、FH01 奉化西坞、FJ01 枫泾镇、FX01 奉贤、FY01 富阳城关、GQ01 高桥、HM01 海门镇沙地话、HM02 海门四甲、HN01 海宁硖石、HY01 海盐县城、JD01 嘉定城厢、JJ01 靖江城区、JS01 嘉善魏塘镇、JS02 金山朱泾、JT01 金坛、JW01 江湾、JX01 嘉兴城区、JY01 江阴城区澄江镇、KQ01 柯桥、KS01 昆山市区玉山镇、LA01 临安城区、LP01 临平五杭、LT01 练塘、LY01 溧阳、MH01 闵行、NB01 宁波市区、NH01 南汇惠南镇、NT01 南通金沙镇、PB01 彭埠镇、PH01 平湖城关、SH01 上海市区、SJ01 松江镇、SJ02 泗泾、SL01 三林、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XD01 新登下港、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、XZ01 莘庄、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ03 诸暨直埠镇、ZP01 周浦、ZR01 真如、ZS01 舟山定海
M,S1,麻,*a,2,u,u,False,3.0,0.0,placed,3,0.036585365853658534,AJ01 安吉安城、CS02 常熟虞山镇、WX01 无锡城区
M,S1,麻,*a,3,uo,u+o,True,3.0,0.5,placed,3,0.036585365853658534,FY02 富阳东梓关、TL01 桐庐镇、YQ01 於潜
M,S1,麻,*a,4,ɑ,ɑ,False,3.0,3.0,placed,2,0.024390243902439025,DB01 郎溪梅渚镇定埠、DY01 丹阳
M,S1,麻,*a,5,ɔ,ɔ,False,3.0,2.0,placed,2,0.024390243902439025,DQ01 德清乾元、SZ02 嵊州长乐
M,S1,麻,*a,6,a,a,False,1.05,3.0,placed,2,0.024390243902439025,HZ01 杭州城区、TX01 桐乡城区
M,S1,麻,*a,7,ɤ,ɤ,False,3.0,1.0,placed,2,0.024390243902439025,QD01 启东吕四、SZ03 嵊州崇仁镇
M,S1,麻,*a,8,ʊ,ʊ,False,2.7,0.45,placed,2,0.024390243902439025,QP01 青浦商榻、ZJ02 诸暨璜山镇
M,S1,麻,*a,9,ɷ,ɷ,False,3.0,0.5,placed,1,0.012195121951219513,HZ02 湖州市区
M,S1,麻,*a,10,o̞,o̞,False,3.0,1.35,placed,1,0.012195121951219513,XC01 新昌城关
M,S2,歌戈,*ɑ,1,o,o,False,3.0,1.0,placed,28,0.34146341463414637,CX02 长兴、FC01 奉城、FX01 奉贤、HY01 海盐县城、HZ01 杭州城区、JS02 金山朱泾、KQ01 柯桥、KS01 昆山市区玉山镇、LA01 临安城区、MH01 闵行、PB01 彭埠镇、PH01 平湖城关、SJ01 松江镇、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ01 苏州城区、SZ02 嵊州长乐、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XC01 新昌城关、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、XZ01 莘庄
M,S2,歌戈,*ɑ,2,u,u,False,3.0,0.0,placed,27,0.32926829268292684,AJ01 安吉安城、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CS02 常熟虞山镇、DQ01 德清乾元、FJ01 枫泾镇、FY02 富阳东梓关、GQ01 高桥、HM01 海门镇沙地话、HN01 海宁硖石、JD01 嘉定城厢、JS01 嘉善魏塘镇、JW01 江湾、JX01 嘉兴城区、LP01 临平五杭、LT01 练塘、NH01 南汇惠南镇、SH01 上海市区、SJ02 泗泾、SL01 三林、TL01 桐庐镇、XD01 新登下港、YQ01 於潜、ZP01 周浦、ZR01 真如
M,S2,歌戈,*ɑ,3,əu,ə+u,True,2.35,0.75,placed,4,0.04878048780487805,FH01 奉化西坞、JT01 金坛、NB01 宁波市区、YX02 鄞县中区
M,S2,歌戈,*ɑ,4,au,a+u,True,2.025,1.5,placed,3,0.036585365853658534,BL01 北仑、YX01 宜兴、ZS01 舟山定海
M,S2,歌戈,*ɑ,5,ou,o+u,True,3.0,0.5,placed,3,0.036585365853658534,CX01 慈溪逍林、YY01 余姚城关、ZJ03 诸暨直埠镇
M,S2,歌戈,*ɑ,6,ɤɯ,ɤ+ɯ,True,3.0,0.5,placed,3,0.036585365853658534,CZ01 常州、NT01 南通金沙镇、ZJ02 诸暨璜山镇
M,S2,歌戈,*ɑ,7,ɤ,ɤ,False,3.0,1.0,placed,3,0.036585365853658534,HM02 海门四甲、QD01 启东吕四、SZ03 嵊州崇仁镇
M,S2,歌戈,*ɑ,8,ɷ,ɷ,False,3.0,0.5,placed,2,0.024390243902439025,DB01 郎溪梅渚镇定埠、HZ02 湖州市区
M,S2,歌戈,*ɑ,9,ʊ,ʊ,False,2.7,0.45,placed,2,0.024390243902439025,FY01 富阳城关、QP01 青浦商榻
M,S2,歌戈,*ɑ,10,əɯ,ə+ɯ,True,2.35,0.75,placed,2,0.024390243902439025,JY01 江阴城区澄江镇、WX01 无锡城区
M,S2,歌戈,*ɑ,11,ɐu,ɐ+u,True,2.46,1.25,placed,1,0.012195121951219513,DS01 岱山岱西镇
M,S2,歌戈,*ɑ,12,ə,ə,False,1.7,1.5,placed,1,0.012195121951219513,DY01 丹阳
M,S2,歌戈,*ɑ,13,ʌɤ,ʌ+ɤ,True,3.0,1.5,placed,1,0.012195121951219513,JJ01 靖江城区
M,S2,歌戈,*ɑ,14,ʌɯ,ʌ+ɯ,True,3.0,1.0,placed,1,0.012195121951219513,LY01 溧阳
M,S2,歌戈,*ɑ,15,ɔi,ɔ+i,True,1.5,1.0,placed,1,0.012195121951219513,ZJ01 诸暨城关
M,S3,模,*u,1,u,u,False,3.0,0.0,placed,33,0.4024390243902439,AJ01 安吉安城、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CS02 常熟虞山镇、DQ01 德清乾元、FJ01 枫泾镇、FY02 富阳东梓关、GQ01 高桥、HM01 海门镇沙地话、HN01 海宁硖石、HZ02 湖州市区、JD01 嘉定城厢、JS01 嘉善魏塘镇、JW01 江湾、JX01 嘉兴城区、KQ01 柯桥、LP01 临平五杭、LT01 练塘、NH01 南汇惠南镇、NT01 南通金沙镇、SH01 上海市区、SL01 三林、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ03 嵊州崇仁镇、TL01 桐庐镇、XD01 新登下港、YQ01 於潜、ZJ03 诸暨直埠镇、ZP01 周浦、ZR01 真如
M,S3,模,*u,2,o,o,False,3.0,1.0,placed,26,0.3170731707317073,CX02 长兴、FC01 奉城、FX01 奉贤、HY01 海盐县城、HZ01 杭州城区、JS02 金山朱泾、KS01 昆山市区玉山镇、LA01 临安城区、MH01 闵行、PB01 彭埠镇、PH01 平湖城关、SJ01 松江镇、SJ02 泗泾、SZ01 苏州城区、SZ02 嵊州长乐、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XC01 新昌城关、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、XZ01 莘庄
M,S3,模,*u,3,əu,ə+u,True,2.35,0.75,placed,4,0.04878048780487805,FH01 奉化西坞、JT01 金坛、NB01 宁波市区、YX02 鄞县中区
M,S3,模,*u,4,au,a+u,True,2.025,1.5,placed,2,0.024390243902439025,BL01 北仑、ZS01 舟山定海
M,S3,模,*u,5,ou,o+u,True,3.0,0.5,placed,2,0.024390243902439025,CX01 慈溪逍林、YY01 余姚城关
M,S3,模,*u,6,ɤɯ,ɤ+ɯ,True,3.0,0.5,placed,2,0.024390243902439025,CZ01 常州、ZJ02 诸暨璜山镇
M,S3,模,*u,7,ɷ,ɷ,False,3.0,0.5,placed,2,0.024390243902439025,DB01 郎溪梅渚镇定埠、YX01 宜兴
M,S3,模,*u,8,ʊ,ʊ,False,2.7,0.45,placed,2,0.024390243902439025,FY01 富阳城关、QP01 青浦商榻
M,S3,模,*u,9,ɤ,ɤ,False,3.0,1.0,placed,2,0.024390243902439025,HM02 海门四甲、QD01 启东吕四
M,S3,模,*u,10,əɯ,ə+ɯ,True,2.35,0.75,placed,2,0.024390243902439025,JY01 江阴城区澄江镇、WX01 无锡城区
M,S3,模,*u,11,ɐu,ɐ+u,True,2.46,1.25,placed,1,0.012195121951219513,DS01 岱山岱西镇
M,S3,模,*u,12,ə,ə,False,1.7,1.5,placed,1,0.012195121951219513,DY01 丹阳
M,S3,模,*u,13,ʌɤ,ʌ+ɤ,True,3.0,1.5,placed,1,0.012195121951219513,JJ01 靖江城区
M,S3,模,*u,14,ʌɯ,ʌ+ɯ,True,3.0,1.0,placed,1,0.012195121951219513,LY01 溧阳
M,S3,模,*u,15,ɔi,ɔ+i,True,1.5,1.0,placed,1,0.012195121951219513,ZJ01 诸暨城关
P,S0,佳皆,*ai,1,a,a,False,1.05,3.0,placed,47,0.573170731707317,AJ01 安吉安城、BL01 北仑、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DQ01 德清乾元、DS01 岱山岱西镇、FH01 奉化西坞、FY01 富阳城关、FY02 富阳东梓关、HN01 海宁硖石、HZ02 湖州市区、JS01 嘉善魏塘镇、JT01 金坛、KQ01 柯桥、KS01 昆山市区玉山镇、LA01 临安城区、LP01 临平五杭、LT01 练塘、MH01 闵行、NB01 宁波市区、NH01 南汇惠南镇、PB01 彭埠镇、PH01 平湖城关、QD01 启东吕四、SX01 绍兴城区东头埭、SZ02 嵊州长乐、SZ03 嵊州崇仁镇、TC01 太仓沙溪、TC02 太仓城厢、TL01 桐庐镇、TX01 桐乡城区、WX01 无锡城区、WX02 吴县光福镇、XC01 新昌城关、XD01 新登下港、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、YQ01 於潜、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ02 诸暨璜山镇、ZJ03 诸暨直埠镇、ZS01 舟山定海
P,S0,佳皆,*ai,2,ᴀ,ᴀ,False,2.03,3.0,placed,13,0.15853658536585366,BS01 宝山、CS01 川沙浦东、CS02 常熟虞山镇、FJ01 枫泾镇、GQ01 高桥、JD01 嘉定城厢、JS02 金山朱泾、LY01 溧阳、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦、ZR01 真如
P,S0,佳皆,*ai,3,ɑ,ɑ,False,3.0,3.0,placed,13,0.15853658536585366,BZ01 堡镇、CM01 崇明城桥、DY01 丹阳、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HM02 海门四甲、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾、SZ01 苏州城区
P,S0,佳皆,*ai,4,æ,æ,False,0.88,2.5,placed,3,0.036585365853658534,JJ01 靖江城区、JY01 江阴城区澄江镇、NT01 南通金沙镇
P,S0,佳皆,*ai,5,ɔ,ɔ,False,3.0,2.0,placed,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
P,S0,佳皆,*ai,6,ᴇ,ᴇ,False,0.53,1.55,placed,1,0.012195121951219513,DB01 郎溪梅渚镇定埠
P,S0,佳皆,*ai,7,ɛ,ɛ,False,0.7,2.0,placed,1,0.012195121951219513,HZ01 杭州城区
P,S0,佳皆,*ai,8,ɒ,ɒ,False,3.0,3.0,placed,1,0.012195121951219513,QP01 青浦商榻
P,S0,佳皆,*ai,9,ɐ,ɐ,False,1.92,2.5,placed,1,0.012195121951219513,SY02 上虞百官镇
P,S1,麻,*a,1,o,o,False,3.0,1.0,placed,64,0.7804878048780488,BL01 北仑、BS01 宝山、BZ01 堡镇、CM01 崇明城桥、CS01 川沙浦东、CX01 慈溪逍林、CX02 长兴、CZ01 常州、DS01 岱山岱西镇、FC01 奉城、FH01 奉化西坞、FJ01 枫泾镇、FX01 奉贤、FY01 富阳城关、HM01 海门镇沙地话、HM02 海门四甲、HN01 海宁硖石、HY01 海盐县城、JD01 嘉定城厢、JJ01 靖江城区、JS01 嘉善魏塘镇、JS02 金山朱泾、JT01 金坛、JW01 江湾、JX01 嘉兴城区、JY01 江阴城区澄江镇、KQ01 柯桥、KS01 昆山市区玉山镇、LA01 临安城区、LP01 临平五杭、LT01 练塘、LY01 溧阳、MH01 闵行、NB01 宁波市区、NH01 南汇惠南镇、NT01 南通金沙镇、PB01 彭埠镇、PH01 平湖城关、SH01 上海市区、SJ01 松江镇、SJ02 泗泾、SL01 三林、SX01 绍兴城区东头埭、SY02 上虞百官镇、SZ01 苏州城区、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、WJ01 吴江市松陵、WJ02 吴江芦墟、WX02 吴县光福镇、XD01 新登下港、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇、XZ01 莘庄、YX01 宜兴、YX02 鄞县中区、YY01 余姚城关、ZJ01 诸暨城关、ZJ03 诸暨直埠镇、ZP01 周浦、ZR01 真如、ZS01 舟山定海
